"Cites","id_old","Authors","authorCount","unknownCount","femaleCount","1st","2nd","3rd","4th","5th","last","allAuthors","Title","Year","Source","dataset","ArticleURL","Type","DOI","Abstract"
"n/a","NA","Srikanth Muppidi,Steven Vernino,Elaine B. Spaeth,Doyle Yuan",4,0,1,0,0,1,0,"NA",0,0.25,"Disproportionate pupillary involvement in diabetic autonomic neuropathy",2014,"n/a",0,"http://link.springer.com/article/10.1007/s10286-014-0258-6,http://link.springer.com/10.1007/s10286-014-0258-6,http://rd.springer.com/article/10.1007/s10286-014-0258-6,http://link.springer.com/article/10.1007/s10286-014-0258-6/fulltext.html,http://utsouthwestern.influuent.utsystem.edu/en/publications/disproportionate-pupillary-involvement-in-diabetic-autonomic-neuropathy(536e2746-5bc9-47cc-83d4-d45f82d13225).html,http://link.springer.com/content/pdf/10.1007%2Fs10286-014-0258-6.pdf,http://www.ncbi.nlm.nih.gov/pubmed/25377131,https://link.springer.com/article/10.1007/s10286-014-0258-6,https://www.ncbi.nlm.nih.gov/pubmed/25377131,http://pubmed.cn/25377131,http://rd.springer.com/content/pdf/10.1007%2Fs10286-014-0258-6.pdf,https://link.springer.com/content/pdf/10.1007%2Fs10286-014-0258-6.pdf,https://utsouthwestern.influuent.utsystem.edu/en/publications/disproportionate-pupillary-involvement-in-diabetic-autonomic-neur,http://utsouthwestern.influuent.utsystem.edu/en/publications/disproportionate-pupillary-involvement-in-diabetic-autonomic-neur","Journal","n/a","Objective#R##N#To study the degree of pupillary impairment in diabetic and non-diabetic autonomic neuropathy."
"n/a","NA","Hermann Weingärtner,Sebastian Weibels,Christian Herrmann,Pascal Hortmann,M. Kutsch",5,1,0,0,0,0,0,"NA","NA",0,"Dissecting ion-specific from electrostatic salt effects on amyloid fibrillation: A case study of insulin",2016,"n/a",0,"https://www.ncbi.nlm.nih.gov/pubmed/26843409,http://avs.scitation.org/doi/full/10.1116/1.4941008?showFTTab=true&containerItemId=content%2Favs%2Fjournal%2Fbip,http://scitation.aip.org/content/avs/journal/bip/11/1/10.1116/1.4941008?TRACK=RSS,http://avs.scitation.org/doi/10.1116/1.4941008,http://avs.scitation.org/doi/abs/10.1116/1.4941008,http://avs.scitation.org/doi/full/10.1116/1.4941008,http://www.ncbi.nlm.nih.gov/pubmed/26843409,http://scitation.aip.org/content/avs/journal/bip/11/1/10.1116/1.4941008,http://scitation.aip.org/content/avs/journal/bip/11/1/10.1116/1.4941008?showFTTab=true&containerItemId=content/avs/journal/bip","Journal","n/a","Diseases like Alzheimer, type II diabetes mellitus, and others go back to fibril formation of partially unfolded proteins. The impact of sodium, potassium, choline, guanidinium, and 1-ethyl-3-methylimidazolium chloride on the fibrillation kinetics of insulin in an acid-denaturing solvent environment is studied by fluorescence spectroscopy using thioflavin T as a fibril-specific stain. The fibrillation kinetics reveal a sigmoidal behavior, characterized by the lag time τlag and the maximum elongation rate k of the fibrils. Up to ionic strengths of about 70 mM, the elongation rate increases with salt concentration. This increase is nonspecific with regard to the salts. Below ionic strengths of ∼50 mM, it can be explained by a Debye-Huckel type model, indicating a dominant role of Coulomb interactions between the charged reactants and products screened by the ionic environment. At higher ionic strength, the elongation rates pass maxima, followed by a Hofmeister type ion-specific decrease. There is a correlat..."
"n/a","NA","Byung-Cheol Song,Kwang Sik Kim,Hyun Ju Kim,Seung Uk Jeong,Dong-Gu Kang,Soyoung Hyun,Eun Kwang Choi,Heung Up Kim,Yoo-Kyung Cho,Hojun Lee",10,6,2,"NA",0,1,0,"NA","NA",0.5,"Distribution of hepatitis C virus genotypes in Jeju Island",2008,"n/a",0,"http://synapse.koreamed.org/Synapse/Data/PDFData/0005KJHEP/kjhep-14-28.pdf,http://www.ncbi.nlm.nih.gov/pubmed/18367855,http://synapse.koreamed.org/DOIx.php?id=10.3350/kjhep.2008.14.1.28,https://www.ncbi.nlm.nih.gov/pubmed/18367855","Journal","n/a","Backgrounds/Aims: The hepatitis C virus (HCV) genotype affects clinical outcomes of HCV infection, in terms of the response to antiviral therapy and progression of chronic liver diseases, and shows geographic differences in distribution. The aim of this study was to elucidate the HCV genotypes in patients with chronic HCV infection in Jeju, which is an island off the Korean peninsula. Methods: The study population consisted of 162 patients with anti-HCV antibodies and HCV-RNA. HCV genotypes were determined using genotype specific primers. Results: HCV genotype 2a predominated (62.3%), followed by genotype 1b (34.0%) and 2b (3.7%). The prevalence of genotypes differed significantly with age, with HCV genotypes 1 and 2 being more frequent in older and younger subjects (P=0.035), respectively. HCV-RNA levels were higher in patients with genotype 1 than in those with genotype 2 (P=0.001). HCV genotype was not significantly related to sex, clinical diagnosis and potential risk factors. Conclusions: HCV genotype 2a is most common in Jeju, followed by genotype 1b. Our results suggest that the distribution of the HCV genotype differs between regions in Korea. (Korean J Hepatol 2008;14:28-35)"
"n/a","NA","Alexander G. Ramm",1,0,0,0,"NA","NA","NA","NA",0,0,"Distribution of Particles Which Produces a “Smart” Material",2007,"n/a",0,"http://arxiv.org/pdf/math-ph/0606023v6.pdf,http://rd.springer.com/content/pdf/10.1007%2Fs10955-007-9303-3.pdf,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=B74542B945EB84A7D8BD1420191AF7B0?doi=10.1.1.130.1325&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=E312BFE59E974B67697D3BA77BDA2C44?doi=10.1.1.112.2884&rep=rep1&type=pdf,http://arxiv.org/abs/math-ph/0606023v6,https://128.84.21.199/abs/math-ph/0606023,http://www.math.ksu.edu/ ramm/papers/515j.pdf,http://www.math.ksu.edu/ ramm/papers/515jsp.pdf,https://link.springer.com/article/10.1007/s10955-007-9303-3,https://link.springer.com/content/pdf/10.1007%2Fs10955-007-9303-3.pdf,http://arxiv.org/pdf/math-ph/0606023v4.pdf,http://arxiv.org/pdf/math-ph/0606023,http://128.84.21.199/abs/math-ph/0606023,http://www.math.ksu.edu/ ramm/papers/515.pdf,http://adsabs.harvard.edu/abs/2007JSP...127..915R,http://link.springer.com/content/pdf/10.1007%2Fs10955-007-9303-3.pdf,http://link.springer.com/article/10.1007/s10955-007-9303-3,http://arxiv.org/abs/math-ph/0606023,http://link.springer.com/10.1007/s10955-007-9303-3,http://link.springer.com/article/10.1007/s10955-007-9303-3?view=classic,http://www.springerlink.com/index/10.1007/s10955-007-9303-3","Journal","n/a","If Aq(β, α, k) is the scattering amplitude, corresponding to a potential \( q\in L^2(D) \), where D⊂ℝ3 is a bounded domain, and \( e^{ik\alpha \cdot x} \) is the incident plane wave, then we call the radiation pattern the function \( A(\beta):=A_q(\beta, \alpha, k) \), where the unit vector α, the incident direction, is fixed, β is the unit vector in the direction of the scattered wave, and k>0, the wavenumber, is fixed. It is shown that any function \( f(\beta)\in L^2(S^2) \), where S2 is the unit sphere in ℝ3, can be approximated with any desired accuracy by a radiation pattern: \( ||f(\beta)-A(\beta)||_{L^2(S^2)} 0 is an arbitrary small fixed number. The potential q, corresponding to A(β), depends on f and ∊, and can be calculated analytically. There is a one-to-one correspondence between the above potential and the density of the number of small acoustically soft particles Dm⊂ D, 1≤ m≤ M, distributed in an a priori given bounded domain D⊂ℝ3. The geometrical shape of a small particle Dm is arbitrary, the boundary Sm of Dm is Lipschitz uniformly with respect to m. The wave number k and the direction α of the incident upon D plane wave are fixed. It is shown that a suitable distribution of the above particles in D can produce the scattering amplitude \( A(\alpha',\alpha)$, $\alpha',\alpha\in S^2 \), at a fixed k>0, arbitrarily close in the norm of L2(S2× S2) to an arbitrary given scattering amplitude f(α ', α), corresponding to a real-valued potential q∊ L2(D), i.e., corresponding to an arbitrary refraction coefficient in D."
"n/a","NA","L. M. Lavkulich,Suzanne W. Simard,Julie E. Wilson,Camille E. Defrenne",4,1,3,"NA",1,1,1,"NA",1,1,"Disturbance Legacy on Soil Carbon Stocks and Stability within a Coastal Temperate Forest of Southwestern British Columbia, Canada",2016,"n/a",0,"http://www.scirp.org/Journal/PaperInformation.aspx?PaperID=69373,http://www.scirp.org/journal/PaperDownload.aspx?DOI=10.4236/ojf.2016.65025,http://www.scirp.org/journal/PaperDownload.aspx?paperID=69373,http://www.scirp.org/journal/PaperInformation.aspx?paperID=69373&,http://file.scirp.org/Html/1-1620369_69373.htm","Journal","n/a","Although#R##N#it has been recognized that soils play a critical role in carbon storage and#R##N#that coastal temperate forests have considerable potential to sequester soil organic#R##N#carbon (SOC), studies related to SOC stocks and stability are scarce in these#R##N#ecosystems. Forest disturbances may leave legacies on SOC properties and may#R##N#further compromise SOC storage capacity of these ecosystems. In the Pacific#R##N#Spirit Regional Park of southwestern British Columbia, we compared SOC stocks#R##N#and stability among three second-growth forests that have been affected by#R##N#disturbances of different magnitudes. We collected data on soil chemical and#R##N#physical properties to estimate SOC content and assess SOC stability. We found#R##N#that SOC stocks in the forest characterized by low magnitude disturbance were#R##N#greater than those of the forest characterized by high magnitude disturbance#R##N#(8.2 ± 1.3 kg·Cm-2 versus 5.3 ± 0.1 kg·Cm-2 to 30 cm#R##N#depth). SOC was less stable in the highly disturbed forest and subsequent#R##N#vegetation changes might have further reduced SOC stability. Our results#R##N#provide insight into the role of disturbance history in the current SOC storage#R##N#capacity of coastal temperate rainforests of British Columbia."
"n/a","NA","Michael C. Willis,M. Brunavs,Sarah M. Morrow,James D. Neuhaus",4,1,1,0,"NA",1,0,"NA",0,0.3333333333,"Diversely Substituted Quinolines via Rhodium-Catalyzed Alkyne Hydroacylation",2016,"n/a",0,"http://pubs.acs.org/doi/full/10.1021/acs.orglett.6b00390,http://www.ncbi.nlm.nih.gov/pubmed/26974467,http://cdn-pubs.acs.org/doi/full/10.1021/acs.orglett.6b00390,https://figshare.com/articles/Diversely_Substituted_Quinolines_via_Rhodium_Catalyzed_Alkyne_Hydroacylation/3113251/files/4837264,http://cdn-pubs.acs.org/doi/abs/10.1021/acs.orglett.6b00390,https://figshare.com/articles/Diversely_Substituted_Quinolines_via_Rhodium_Catalyzed_Alkyne_Hydroacylation/3113251,http://pubsdc3.acs.org/doi/suppl/10.1021/acs.orglett.6b00390,http://pubsdc3.acs.org/doi/full/10.1021/acs.orglett.6b00390,http://pubsdc3.acs.org/doi/abs/10.1021/acs.orglett.6b00390,http://pubs.acs.org/doi/abs/10.1021/acs.orglett.6b00390?source=chemport,http://pubs.acs.org/doi/abs/10.1021/acs.orglett.6b00390,http://pubs.acs.org/doi/suppl/10.1021/acs.orglett.6b00390","Journal","n/a","The Rh-catalyzed hydroacylative union of aldehydes and o-alkynyl anilines leads to 2-aminophenyl enones, and onward to substituted quinolines. The mild reaction conditions employed in this chemistry result in a process that displays broad functional group tolerance, allowing the preparation of diversely substituted quinolines in high yields. Extension to the use of o-alkynyl nitro arenes as substrates leads to 2-nitrochalcones, from which both quinolines and quinoline N-oxides can be accessed."
"n/a","NA","Randy B Machemehl,Wei Fan",2,0,0,0,0,"NA","NA","NA",0,0,"Do transit users just wait for buses or wait with strategies? Some numerical results that transit planners should see",2009,"n/a",0,"http://trid.trb.org/view.aspx?id=881676,http://cat.inist.fr/?aModele=afficheN&cpsidt=22268178,http://trrjournalonline.trb.org/doi/abs/10.3141/2111-19,https://trid.trb.org/view.aspx?id=881676,https://trid.trb.org/view/881676,http://www.worldtransitresearch.info/research/70,http://trrjournalonline.trb.org/doi/ref/10.3141/2111-19,http://trb.metapress.com/index/k58164vj78t1658u.pdf,https://utexas.influuent.utsystem.edu/en/publications/do-transit-users-just-wait-for-buses-or-wait-with-strategies-some,http://trrjournalonline.trb.org/doi/10.3141/2111-19,http://trb.metapress.com/openurl.asp?genre=article&id=doi:10.3141/2111-19,http://trrjournalonline.trb.org/doi/citedby/10.3141/2111-19","Journal","n/a","The effects of bus line headway, schedule reliability index, and many other potential predictors on passenger waiting times were investigated. A large amount of waiting time data, including passenger-related attributes and transit system operational characteristics, was collected by direct observation and by videotaping during a 6-month period in the city of Austin, Texas. Various mathematical models were developed, and a preferred model was identified. A linear regression model that uses bus line headway as the only independent variable to predict passenger waiting times was given for transit planning purposes. A great difference between the traditional random model and the study model was examined. With the use of structural breaks on the basis of an econometric analysis approach for the first time, several insights into the numerical results were provided. An 11-min vehicle headway was identified to mark the transition from practically random to less random passenger arrivals, and all transit users can be regarded as coordinated arrivals after 38-min bus headway. The benefits of coordinated arrivals compared with random arrivals were also presented."
"n/a","NA","Nikolaos Demakopoulos,Varvara Valotassiou,Ioannis Tsougos,Panagiotis Georgoulias",4,0,1,0,1,0,0,"NA",0,0.25,"Does hybrid diagnostic imaging in cardiology have the same significance as in oncology",2011,"n/a",0,"http://cat.inist.fr/?aModele=afficheN&cpsidt=23936082,http://www.ncbi.nlm.nih.gov/pubmed/21336693,http://link.springer.com/content/pdf/10.1007%2Fs00259-011-1746-8.pdf,http://link.springer.com/10.1007/s00259-011-1746-8,https://link.springer.com/article/10.1007/s00259-011-1746-8,http://link.springer.com/article/10.1007%2Fs00259-011-1746-8,https://www.ncbi.nlm.nih.gov/pubmed/21336693,http://rd.springer.com/content/pdf/10.1007%2Fs00259-011-1746-8.pdf","Journal","n/a","n/a"
"n/a","NA","T. Philip,M. Brunat-Mentigny,D. Frappaz,M. Buclon,Chappuis Jp,Basset T,Dominique Ranchère-Vince,Frédérique Dijoud,Raymonde Bouvier,Philippe Thiesse,Ciprian Iliescu,Christophe Bergeron",12,8,2,"NA","NA","NA","NA","NA",0,0.5,"Does nephroblastomatosis influence the natural history and relapse rate in Wilms' tumour? A single centre experience over 11 years.",2001,"n/a",0,"http://cat.inist.fr/?aModele=afficheN&cpsidt=902062,http://www.sciencedirect.com/science/article/pii/S0959804900004093,http://www.ejcancer.com/article/S0959-8049(00)00409-3/references,http://www.ncbi.nlm.nih.gov/pubmed/11239761,http://linkinghub.elsevier.com/retrieve/pii/S0959804900004093,http://www.ejcancer.com/article/S0959804900004093/abstract,http://www.ejcancer.com/article/S0959-8049(00)00409-3/abstract,https://www.ncbi.nlm.nih.gov/pubmed/11239761,http://www.ejcancer.com/article/S0959-8049(00)00409-3/fulltext,http://www.ejcancer.com/article/S0959804900004093/pdf","Journal","n/a","Abstract  The presence of multifocal or diffuse nephrogenic rests (NRs) in one or both kidneys is termed nephroblastomatosis (Nbm). Nbm may be a predisposing factor for Wilms' tumour (WT). The aim of this retrospective study was to evaluate the impact of Nbm on the outcome of WT in children. We assessed the outcome of 81 children with Wilms tumours and practical implications of Nbm in the treatment and follow-up. All the pathology slides have been reviewed in 1997. 63 had WT without Nbm (group A) and 18 had WT associated with Nbm (group B). There was no statistical difference between the two groups according to the age at diagnosis and histology. Clinical abnormalities were more frequent in group B (33 versus 8%). There was no statistical difference between the percentage of stage IV in both groups, but bilaterality (stage V) was present only in the group B. Relapse was observed in 20/81 patients (25%): 11 (17%) in group A and 9 (50%) in group B. Mean delay of relapse was longer (25 months) in group B than in group A (10 months). For the whole population, with a median follow-up of 9 years, the event-free survival (EFS) and the overall survival (OS) probabilities were respectively 74%±10 and 83%±9 at 120 months. The difference in EFS between groups A (82±9%) and B (38%±29) was significant ( P =0.004). The discovery of Nbm in the non-tumoral part of the kidney with WT can be an adverse factor and in particular favours the subsequent development of a new Wilms tumour. It justifies separate follow-up guidelines."
"n/a","NA","Andreas Buchleitner,Thomas Wellens,Tobias Geiger,Vyacheslav Shatokhin",4,1,0,0,0,0,"NA","NA","NA",0,"Double scattering of intense laser light by two atoms",2010,"n/a",0,"http://arxiv.org/pdf/1003.6122,http://arxiv.org/pdf/1003.6122v1,http://cat.inist.fr/?aModele=afficheN&cpsidt=23378895,http://linkinghub.elsevier.com/retrieve/pii/S0301010410001837,http://www.researchgate.net/profile/V_Shatokhin/publication/45909509_Double_scattering_of_intense_laser_light_by_two_atoms/links/54297c850cf238c6ea7f6e01.pdf,http://www.sciencedirect.com/science/article/pii/S0301010410001837,http://adsabs.harvard.edu/abs/2010arXiv1003.6122S,http://arxiv.org/abs/1003.6122","Journal","n/a","This paper analyzes coherent backscattering of intense laser light by two randomly placed distant atoms. Starting from the general two-atom master equation, we analytically derive the elastic and inelastic background and interference components of the double scattering spectrum. By expressing the final results in terms of single-atom observables, the two-atom problem is shown to be equivalent to a description in terms of single atoms under bichromatic driving."
"n/a","NA","Dragutin Kecmanovic,Stojan Latinčić,D. P. Nale,M.S. Ceranic,Maja Pavlov",5,4,1,"NA","NA","NA","NA",1,1,1,"Double-Barreled Wet Colostomy versus Ileal Conduit and terminal colostomy for urinary and fecal diversion: A Single institution experience",2014,"n/a",0,"http://sjs.sagepub.com/content/103/3/189.full.pdf,http://journals.sagepub.com/doi/10.1177/1457496913509982,http://journals.sagepub.com/doi/full/10.1177/1457496913509982,http://sjs.sagepub.com/content/early/2014/01/28/1457496913509982.full.pdf,http://sjs.sagepub.com/content/early/2014/01/28/1457496913509982.abstract,http://sjs.sagepub.com/content/early/2014/01/28/1457496913509982.full,http://journals.sagepub.com/doi/abs/10.1177/1457496913509982,https://www.ncbi.nlm.nih.gov/pubmed/24520102,http://sjs.sagepub.com/content/103/3/189.full.pdf+html,http://sjs.sagepub.com/lookup/doi/10.1177/1457496913509982,http://www.ncbi.nlm.nih.gov/pubmed/24520102,http://sjs.sagepub.com/content/103/3/189.short,http://sjs.sagepub.com/content/103/3/189.full,http://sjs.sagepub.com/content/103/3/189,http://sjs.sagepub.com/content/103/3/189.abstract","Journal","n/a","Background and Aims: the aim of this study was to compare the feasibility and early postoperative outcomes between patients undergoing double-barreled wet colostomy and patients undergoing terminal colostomy and ileal conduit for simultaneous urinary and fecal diversion. Material and Methods: between 1995 and 2012, we had 181 patients in whom it was necessary to make simultaneous urinary and fecal diversion. this is a retrospective study and patients were divided into two groups, depending on the technique applied for the fecal and urinary diversion. the first group consisted of patients undergoing ileal conduit and terminal colostomy and the second group consisted of patients undergoing doublebarreled wet colostomy. Results: ileal conduit and terminal colostomy was performed in 77 (43%) cases, while wet colostomy was performed in 104 (57%) cases. median length of stay was shorter for double-barreled wet colostomy (13.1 vs 18.1, p < 0.0001). median operating times for urinary and fecal diversion were shorter for double-barreled wet colostomy (32 vs 64 min, p < 0.0001). the morbidity was lower for double-barreled wet colostomy (11.5% vs 23.4%, p = 0.0432), retrospectively. the mortality was 3.8% for double-barreled wet colostomy and 10.3% for ileal conduit and terminal colostomy group (p = 0.1282). Conclusions: Double-barreled wet colostomy is a safe, fast, and simple alternative to traditional ileal conduit and terminal colostomy diversion. the technique is relatively easy to learn, and it reduces the time for urinary and fecal diversion, length of stay, and morbidity rate."
"n/a","NA","Jean-Marie Harribey",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","Du travail à l'écologie, nouvelle voie du socialisme",2010,"n/a",0,"http://www.cairn.info/resume.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/article.php?ID_ARTICLE=AMX_048_0166&DocId=63663&hits=6561+6236+6194+6162+6034+6029+5823+5804+5795+5757+5723+5498+5478+5470+5396+5395+5310+5305+5008+4942+4455+4028+3994+3993+3984+3983+3922+3724+3565+3252+3188+3179+3164+3117+2990+2953+2886+2802+2781+2746+2666+2597+2571+2565+2557+2389+1861+1847+1742+1611+1489+1488+1469+1468+1051+394+257+,http://www.cairn.info/revue-actuel-marx-2010-2-page-166.html,https://www.cairn.info/revue-actuel-marx-2010-2-page-166.htm,http://www.cairn.info/zen.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/revue-actuel-marx-2010-2-p-166.htm,http://www.cairn.info/load_pdf.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/article.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/article.php?ID_ARTICLE=AMX_048_0166&DocId=63663,http://www.cairn.info/article.php?ID_ARTICLE=AMX_048_0166&DocId=63663&hits=6561+6401+6324+6186+6034+6029+5823+5804+5795+5757+5723+5310+5305+5008+4942+4819+4478+4473+4028+3922+3724+3252+3188+3179+3164+3117+2990+2954+2953+2886+2802+2781+2746+2666+2597+2571+2565+2557+2389+1051+394+257+,http://www.cairn.info/article_p.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/resume_p.php?ID_ARTICLE=AMX_048_0166,http://www.cairn.info/revue-actuel-marx-2010-2-page-166.htm","Journal","n/a","n/a"
"n/a","NA","Wooyoung Choi,Tae-Chang Jo",2,2,"NA","NA","NA","NA","NA","NA","NA","NA","Dynamics of Strongly Nonlinear Internal Solitary Waves in Shallow Water",2002,"n/a",0,"http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/1467-9590.00222,http://cat.inist.fr/?aModele=afficheN&cpsidt=13964882,http://onlinelibrary.wiley.com/doi/10.1111/1467-9590.00222/full,http://onlinelibrary.wiley.com/doi/10.1111/1467-9590.00222/pdf,http://onlinelibrary.wiley.com/doi/10.1111/1467-9590.00222/references,http://doi.wiley.com/10.1111/1467-9590.00222,https://web.njit.edu/ wychoi/pub/sapm_02.pdf,http://onlinelibrary.wiley.com/doi/10.1111/1467-9590.00222/epdf,http://onlinelibrary.wiley.com/doi/10.1111/1467-9590.00222/abstract","Journal","n/a","We study the dynamics of large amplitude internal solitary waves in shallow water by using a strongly nonlinear long-wave model. We investigate higher order nonlinear effects on the evolution of solitary waves by comparing our numerical solutions of the model with weakly nonlinear solutions. We carry out the local stability analysis of solitary wave solution of the model and identify an instability mechanism of the Kelvin-Helmholtz type. With parameters in the stable range, we simulate the interaction of two solitary waves: both head-on and overtaking collisions. We also study the deformation of a solitary wave propagating over non-uniform topography and describe the process of disintegration in detail. Our numerical solutions unveil new dynamical behaviors of large amplitude internal solitary waves, to which any weakly nonlinear model is inapplicable."
"n/a","NA","K. Mulliner",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","E-Commerce-A Collection Development Perspective",2013,"n/a",0,"http://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=3865&context=atg,http://docs.lib.purdue.edu/atg/vol11/iss6/8/","Journal","n/a","n/a"
"n/a","NA","Salman Ahmady-Asbchin,Naser Jafari",2,0,0,0,0,"NA","NA","NA",0,0,"Ecotoxicological Effect of Nickel on Phytoaccumulation by Spirogyra irregularis Nageli ( Chlorophyta )",2011,"n/a",0,"http://dl.begellhouse.com/ru/journals/7dd4467e7de5b7ef,27ad12a463c7431d,1a95099b6b55c21c.html,http://www.dl.begellhouse.com/download/article/1a95099b6b55c21c/IJA1304 (392-404).pdf,http://www.dl.begellhouse.com/journals/7dd4467e7de5b7ef,27ad12a463c7431d,1a95099b6b55c21c.html","Journal","n/a","n/a"
