AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
David R. Swanson; F Wuerthwein; Dan Fraser; Derek Weitzel; J Frey; I. Sfiligoi; B. Bockelman,software; computer science; world wide web; supercomputer; access method; user friendly; grid; open science; database; workflow; ssh file transfer protocol,2014,Journal,NA,10.1088/1742-6596/513/3/032105,Accessing opportunistic resources with Bosco
Erik Cobo; Elizabeth Wager; Darko Hren; Guadalupe Gómez; Ana Utrobičić; Melissa K Sharp,strengthening the reporting of observational studies in epidemiology; open science; classification scheme; nursing; strengths and weaknesses; checklist; observational study; medicine; intraclass correlation; risk analysis; epidemiology,2017,Journal,BMJ Open,10.1136/bmjopen-2017-019043,The STROBE extensions: protocol for a qualitative assessment of content and a survey of endorsement
Emily S. Sena,alternative medicine; open science; publication; honour; medicine; translational research; open access journal,2017,Journal,NA,10.1136/bmjos-2017-ined,Inaugural editorial: advancing preclinical and translational research of relevance to medicine
Levent Yilmaz; Guangyu Zou,ecosystem model; popularity; e science; environmental resource management; cyberinfrastructure; environmental science; exploratory research; self organization; open science; management science; psychological resilience,2011,Conference,NA,10.1109/ACSIP.2011.6064453,InnoScape: A creative artificial ecosystem model of boundary processes in open science
Tim Rapley; Janice Pearse; Anna Basu,open science; alternative medicine; medicine; public debate; clinical trial; publishing; psychological intervention; trial registration,2017,Journal,Trials,10.1186/s13063-016-1757-7,"Publishing protocols for trials of complex interventions before trial completion – potential pitfalls, solutions and the need for public debate"
Miguel Moya; Guillermo B. Willis,rigour; psychology; open science; applied psychology; social psychology,2017,Journal,Revista De Psicologia Social,10.1080/02134748.2017.1352140,A more transparent science: recommendations to increase the informative value of articles submitted to the Revista de Psicología Social / Una ciencia más transparente: recomendaciones para aumentar el valor informativo de los artículos enviados a la Revista de Psicología Social
Simon J. E. Taylor; Rita Ricceri; Roberto Barbera; Anastasia Anagnostou; Adedeji O. Fabiyi; Bruce Becker; Mario Torrisi,open data; data science; computer science; identifier; distributed computing; modeling and simulation; software; database; open science,2016,Conference,NA,10.1109/DS-RT.2016.35,Demonstrating Open Science for Modeling & Simulation Research
Timothée Poisot; Brian Wee; Frédéric Barraquand; Peter Søgaard Jørgensen; Naupaka Zimmerman; Jennifer M. Talbot; Thomas H. G. Ezard; Brian Swartz; Laureano A. Gherardi; Vincent Bonhomme; R. Andrew Hayes; Ellen Cieraad; Lucía DeSoto; Timothy J. Curran; Roberto Salguero-Gómez,biology; ecology; open science; science policy,2015,Journal,Ecosphere,10.1890/ES14-00198.1,Connecting people and ideas from around the world: global innovation platforms for next-generation ecology and beyond
Don E Maxwell; Devesh Tiwari; Nathan DeBardeleben; Dave Londo; Saurabh Gupta; Philippe Olivier Alexandre Navaux; Arthur S. Bland; Sudharshan S. Vazhkudai; Luigi Carro; Paolo Rech; Daniel Oliveira; James H. Rogers,titan; computer science; supercomputer; graphics hardware; systems design; java; open science; parallel computing; gpu cluster,2015,Conference,NA,10.1109/HPCA.2015.7056044,Understanding GPU errors on large-scale HPC systems and the implications for system design and operation
Roger C. Schonfeld; William Gunn; Diane Scott-Lichter; Shira Eller; Joan K. Lippincott; Aimee Nixon; Concetta Seminara,world wide web; open science; knowledge management; political science; workgroup,2017,Journal,NA,10.13021/G8osi.1.2017.1920,HSS Scholars & Scientists Workgroup Report
Andy G. Lynch,library science; medicine; open science; alternative medicine,2016,Journal,F1000Research,10.12688/f1000research.8918.1,Decomposition of mutational context signatures using quadratic programming methods
Tanya Levshina; Gabriele Garzoglio; Arthur Kreymer; Dave Dykstra; Michael Kirby; Joseph Boyd; N Sharma; Parag Mhashilkar; Kenneth Herner; Dennis Box,high throughput computing; data management; simulation; systems engineering; software deployment; grid computing; open science; workflow; engineering; utility computing; cloud computing,2015,Journal,NA,10.1088/1742-6596/664/6/062040,Progress on the Fabric for Frontier Experiments Project at Fermilab
Gopal Bhatt; Alain N. Rousseau; Xuan Yu; Álvaro Pardo Álvarez; Dominique Charron; Christopher J. Duffy,hydrology; open science; systems engineering; documentation; reusability; earth system science; computer science; use case; workflow; user experience design; software,2016,Journal,Earth and Space Science,10.1002/2015EA000155,Open science in practice: Learning integrated modeling of coupled surface-subsurface flow processes from scratch
Jonathan W. Schooler,decline effect; psychology; eyewitness memory; developmental psychology; open science; cognitive psychology; social psychology,2014,Journal,Perspectives on Psychological Science,10.1177/1745691614547878,"Turning the Lens of Science on Itself Verbal Overshadowing, Replication, and Metascience"
Maria Manuel Borges; Licinio Roque; Ariovaldo Veiga de Almeida,cloud computing; commission; open science; engineering; knowledge management; scientific method,2017,Conference,NA,10.1145/3144826.3145382,The European Open Science Cloud: A New Challenge for Europe
Merli Tamtik; Creso M. Sá,structural genomics; open science; social science; intellectual property; sociology,2011,Journal,"Life Sciences, Society and Policy",10.1186/1746-5354-7-1-20,Structural genomics and the organisation of open science
Philip E. Bourne,skills management; a major; open science; chris; management; scholarly communication; operations research; bioinformatics; publishing; simon; computer science; confession,2012,Journal,PLOS Computational Biology,10.1371/journal.pcbi.1002728,Seven Years; It's Time for a Change.
Brian Owens,knowledge management; open science; data sharing; political science; intellectual property,2016,Journal,Nature,10.1038/533S71a,Data sharing: Access all areas
Sarah Parks; Joanna Chataway; Elta Smith,knowledge management; political science; transparency; open science; openness to experience; science policy; public relations,2017,Journal,NA,10.17323/2500-2597.2017.2.44.53,How will Open Science impact on university/industry collaborations?
Claudia Göbel; Katrin Vohland,performance art; citizen science; open science; sociology,2017,Journal,NA,10.14512/tatup.26.1-2.18,Open Science und Citizen Science als symbiotische Beziehung
Corinne Lepage,history; open science; performance art,2010,Journal,NA,10.4000/cdst.277,"L’open science, un déﬁ pour les États"
Dimitris Papadopoulos,open science; public sphere; private sector; social science; anthropology; sociology; technoscience; publics; commons,2015,Journal,Science As Culture,10.1080/09505431.2014.986322,From Publics to Practitioners: Invention Power and Open Technoscience
Colin Leonard Bird; Jeremy G. Frey,data sharing; information technology; e research; grand challenges; nanotechnology; cheminformatics; big data; ontology; open science; computer science,2013,Journal,Chemical Society Reviews,10.1039/C3CS60050E,Chemical information matters: an e-Research perspective on information and data sharing in the chemical sciences
Krishna Ravi Srinivas,sociology; pluto; open science; media studies; politics; social science,2016,Journal,Public Understanding of Science,10.1177/0963662515619547,"Book Review: Alessandro Delfanti, Biohackers: The Politics of Open ScienceDelfantiAlessandroBiohackers: The Politics of Open Science. London: Pluto Press, 2013. 168 pp."
Ercilia García-Álvarez; Jordi López Sintas,social science; qualitative research; e science; knowledge management; originality; software; open science; economics; science policy; emerging technologies,2012,Journal,Intangible Capital,10.3926/ic.384,"Open science, e-science and the new technologies: Challenges and old problems in qualitative research in the social sciences"
James Galipeau; Jonathan J Deeks; Sally Bell-Syer; David Moher; Paul Garner; Patricia Baskin; Virginia Barbour; Kelly D. Cobey; Straus Sharon; Larissa Shamseer; Peter Tugwell; Margaret A. Winker,open science; applied psychology; alternative medicine; curriculum; delphi method; open data; publishing; medicine; competence; core competency,2017,Journal,F1000Research,10.12688/f1000research.12400.1,"An international survey and modified Delphi process revealed editors’ perceptions, training needs, and ratings of competency-related statements for the development of core competencies for scientific editors of biomedical journals"
Jürgen Bajorath,alternative medicine; big data; open science; open data; data quality; data sharing; software; management science; medicine; text mining; publishing,2014,Journal,F1000Research,10.12688/f1000research.5742.1,On data sharing in computational drug discovery and the need for data notes
Kyle T. Dolan; Joseph F. Pierre; Erin J. Heckler,alternative medicine; medicine; open science; engineering management,2016,Journal,F1000Research,10.12688/f1000research.9080.1,Revitalizing biomedical research: recommendations from the Future of Research Chicago Symposium
Alexandre Hannud Abdo,sociology; library science; open science; social science; open research; citizen science,2014,Journal,Liinc em Revista,10.18617/liinc.v10i2.747,"Ciência Aberta, da ciência para todos à ciência com todos │ Open Science, from science for everybody to science with everybody"
Christof Koch; Allan R. Jones,open science; neuroscience; science education; neuroinformatics; psychology; outline of social science,2016,Journal,Neuron,10.1016/j.neuron.2016.10.019,"Big Science, Team Science, and Open Science for Neuroscience"
C. Wilkinson; Alan F. T. Winfield; Ann Grand; K. Bultitude,public relations; sociology; warranty; liability; allegation; open science; trademark; intellectual property; social science; public awareness of science,2012,Journal,Science Communication,10.1177/1075547012443021,"Open science: a new ""trust technology""?"
Amy Schuele; David L. Hart; Maytal Dahan; Matthew R. Hanlon; Ester Soriano,management science; legacy system; cyberinfrastructure; flexible mechanisms; leverage; computer science; resource allocation; software as a service; open science,2014,Conference,NA,10.1145/2616498.2616562,XRAS: Allocations software as a service in XSEDE
Radovan Vrana,open science; interaction design foundation; open learning; open educational resources; knowledge management; openness to experience; computer science,2015,Conference,NA,10.1109/MIPRO.2015.7160399,"Open science, open access and open educational resources: Challenges and opportunities"
Markus Simeth; Julio Raffo,open innovation; reciprocity; economics; open science; phenomenon; sociology of scientific knowledge; empirical evidence; appropriation; publication; marketing; public relations,2013,Journal,Research Policy,10.1016/j.respol.2013.05.007,What makes companies pursue an open science strategy
Benjamin Alexander Laken,solar variation; atmospheric sciences; monsoon; physics; open science,2016,Journal,Journal of Space Weather and Space Climate,10.1051/swsc/2016005,Can Open Science save us from a solar-driven monsoon?
W Andrews; A McCrea; C W Murphy; I. Sfiligoi; F. Würthwein; E Sheripon; J M Dost; I MacNeill,open science; engineering; virtual organization; grid; operations management; factory; outsourcing; systems engineering,2011,Journal,NA,10.1088/1742-6596/331/7/072031,Operating a production pilot factory serving several scientific domains
N Sharma; S Martin; A Verstegen; D Dykstra; Keith Chadwick; M Salle; Joseph Bester; O Koeroo; J Gu; Tanya Levshina; Gabriele Garzoglio; T. Hesselroth; D Groep; A Sim; S Timm,middleware; software; interoperability; enforcement; grid; xacml; open science; gridftp; computer science; database,2011,Journal,NA,10.1088/1742-6596/331/6/062011,Adoption of a SAML-XACML Profile for Authorization Interoperability across Grid Middleware in OSG and EGEE
Björn Brembs,philosophy; open science; library science,2015,Journal,NA,10.1515/iwp-2015-0027,Open Science als eine Lösung der Infrastrukturkrise in der Wissenschaft
Reham Al Tamime; Wendy Hall; Richard Giordano,political science; knowledge building; social network analysis; knowledge management; open science; encyclopedia; dynamic network analysis; sociology of scientific knowledge; citizen science; actor network theory,2016,Conference,NA,10.1145/2962132.2962141,Medical Science in Wikipedia: The Construction of Scientific Knowledge in Open Science Projects
Dan Stanzione; Niall Ives Gaffney; Tommy Minyard; Chris Jordan,workflow; data curation; sql; open science; computer data storage; database; nosql; file system; data mining; cataloging; computer science,2014,Conference,NA,10.1109/BigData.2014.7004480,Building Wrangler: A transformational data intensive resource for the open science community
Plekhanov Dmitry; Dirk Meissner; Narkhova Anastasiia,business; information processing; open science; management; knowledge management; human capital,2016,Journal,Social Science Research Network,10.2139/ssrn.2857133,The Meaning of Digitalization for Research Skills: Challenges for Sti Policy
Jonathan M. Gleadle; Annette Mazzone,anesthesiology; open science; alternative medicine; neuroscience; medicine; open data,2016,Journal,F1000Research,10.12688/f1000research.9633.1,Remote ischaemic preconditioning: closer to the mechanism?
Jeffrey A. Keelan; John P. Newnham,open data; anesthesiology; open science; alternative medicine; medicine,2017,Journal,F1000Research,10.12688/f1000research.11385.1,Recent advances in the prevention of preterm birth
David Guedj; Celina Ramjoué,resource efficiency; multidisciplinary approach; political science; citizen journalism; open science; management science; emerging technologies; commission; knowledge management; open research; information and communications technology,2015,Journal,NA,10.11610/bmdj.01102,European Commission Policy on Open-Access to Scientific Publications and Research Data in Horizon 2020
Amanda Barratt,open science; law; public administration; intellectual property; bayh dole act; scientific method; publishing; political science,2011,Journal,Journal of juridical science,10.4314/jjs.v35i2.68809,Lessons from Bayh-Dole: reflections on the Intellectual Property Rights from Publicly Financed Research and Development Act
Vitek Tracz; Rebecca Lawrence,software; publishing; knowledge management; open science; open data; medicine; impact factor; alternative medicine,2016,Journal,F1000Research,10.12688/f1000research.7968.1,Towards an open science publishing platform
Chuck Humphrey; Kathleen Shearer; Martha Whitehead,network governance; corporate governance; open science; data management; collaborative network; knowledge management; deliverable; rdm; government; computer science; data mining; management science,2016,Journal,International Journal of Digital Curation,10.2218/ijdc.v11i1.411,Towards a Collaborative National Research Data Management Network
Audie A. Atienza; Jared Bajkowski; Joseph F. Bonner; Aki MacFarlane; Jennifer Couch; Vinay Pai; Elizabeth Kittrie; David Carr; Philip E. Bourne; Daniel Mietchen; Robert Kiley,open science; biology; genetics; open data; knowledge management; global health; crowdsourcing,2017,Journal,PLOS Biology,10.1371/journal.pbio.2002617,Developing international open science collaborations: Funder reflections on the Open Science Prize
Matthew Burton; R. Stuart Geiger; Thomas A. Finholt; David Ribes; Steven J. Jackson,delegation; interdependence; human communication; knowledge management; engineering; invisibility; sociology of scientific knowledge; management science; open science,2013,Journal,Information and Organization,10.1016/j.infoandorg.2012.08.001,Artifacts that organize: Delegation in the distributed organization
Andrew J.S. Coats; Sukhjinder Nijjer; Darrel P. Francis,medicine; ticagrelor; peer review; clinical trial; scientific method; open science; scientific misconduct; randomized controlled trial; data sharing; alternative medicine,2014,Journal,International Journal of Cardiology,10.1016/j.ijcard.2014.05.034,"Protecting the pipeline of science: Openness, scientific methods and the lessons from ticagrelor and the PLATO trial"
Allan Espinosa; Phillip Maechling; Ketan Maheshwari; Scott Callaghan; Daniel S. Katz; Michael Wilde; Ian T. Foster,computation; cyberinfrastructure; grid; computer science; teragrid; open science; database; distributed computing,2011,Conference,NA,10.1145/2016741.2016757,Data-intensive CyberShake computations on an opportunistic cyberinfrastructure
Richard Kaufmann; Dejan S. Milojicic; Nigel Cook; Joel Sevinsky,reusability; cloud computing; usability; workflow; computer engineering; open science; data science; parallel processing; computer science; workbench; user interface,2012,Conference,NA,10.1109/OCS.2012.30,N3phele: Open Science-as-a-Service Workbench for Cloud-based Scientific Computing
Werner Reichmann,sociology; media studies; open science,2017,Journal,NA,10.14512/tatup.26.1-2.43,Open Science zwischen sozialen Strukturen und Wissenskulturen : Eine wissenschaftssoziologische Erweiterung
Sergio J. Rey,presidential system; regional science; economics; open data; software; argument; status quo; open science; will call,2014,Journal,Annals of Regional Science,10.1007/s00168-014-0611-7,Open regional science
Drew C. MacKellar; Jessica K. Polka; Ayesha Islam; Erica M. Walsh; Kristin A. Krukenberg; Jonathan D. Jackson; Avi Robinson-Mosher; Gary S. McDowell; Leila Shokri; James Kraemer; Thomas A. Bowman; Vaibhav P. Pai; Patricia R. Goodwin; Eldi Schoenfeld; Sarah A. Mazzilli; Marcella L. Erb; Kearney T. W. Gunsalus; Matthew D. Mattozzi,publishing; alternative medicine; public engagement; engineering management; workforce; data sharing; medicine; open data; scientific method; open science,2014,Journal,F1000Research,10.12688/f1000research.5878.2,Shaping the Future of Research: a perspective from junior scientists
Shannon Dosemagen; Gretchen Gehrke,social science; library science; open science; sociology; public participation,2017,Journal,Liinc em Revista,10.18617/liinc.v13i1.3899,Civic Technology and Community Science: A new model for public participation in environmental decisions | Tecnologia cívica e ciência comunitária: um novo modelo de participação pública em decisões ambientais
Matthias Schörghuber; Michela Vignoli; Oliver Zendel,management science; work package; knowledge management; dissemination; incentive; open science; openup; delegation; schema; engineering; constructive,2016,Journal,NA,10.7557/5.3975,OpenUP’s Open Science Pilots. Designing innovative peer review and dissemination pilot studies
C Theissen; J M Dost; F. Würthwein; H. Pi; I. Sfiligoi,information system; engineering; services computing; management system; grid; scalability; simulation; open science; workload; batch processing; distributed computing,2011,Journal,NA,10.1088/1742-6596/331/6/062023,Scalability of network facing services used in the Open Science Grid
Vanessa Proudman,knowledge management; corporate governance; sustainability; terms of reference; political science; public relations; workflow; open science,2017,Journal,NA,10.7557/5.4252,SCOSS: A global Sustainability Coalition for Open Science Services
Paul Ayris,open science; library science; computer science; digital library,2017,Journal,The Liber Quarterly,10.18352/lq.10147,The importance of European collaborations to support Open Science and digital library development
Doreen Siegfried,open science; art; library science,2017,Journal,NA,10.15358/0340-1650-2017-7-8-54,Open Science: Das neue Gold von Wissenschaft sind Forschungsdaten
Alain Roy,open science; engineering; distributed computing environment; software; reuse; software distribution; grid; systems engineering; leverage,2012,Journal,NA,10.1088/1742-6596/396/5/052062,Migrating Open Science Grid to RPMs
Tran Thi Minh Phuong; Trang Huyen Thi Nguyen; Bui Thi My Anh; Phan Van Tuong,open data; medicine; open science; anesthesiology; alternative medicine,2017,Journal,F1000Research,10.12688/f1000research.11399.4,"Assessment of injection safety in Ha Dong General Hospital, Hanoi, in 2012"
Fabio Balli,commons; open science; multimedia; medicine,2016,Conference,NA,10.1145/2962132.2962138,Health & Play: Addressing together the challenges of creating an open source standard for breathing games
Timothy Caulfield; Shawn Harmon; Yann Joly,sociology; commercialization; bottle; media studies; open science; public relations,2012,Journal,Medical Law International,10.1177/0968533212441887,Commercialization versus open science: Making sense of the message(s) in the bottle
Leif Longva; Lars Moksness; Bård Smedsrød; Eirik Reierth,paywall; political science; open science; international action; publication; form of the good; publishing; management; peer review; public relations; academic freedom,2016,Journal,NA,10.7557/5.3946,Peer reviewing – a responsibility and a power of the university?
Konrad Hinsen,computer engineering; computer aided; computational biology; open science; software; publishing; medicine,2014,Journal,F1000Research,10.12688/f1000research.5773.1,Platforms for publishing and archiving computer-aided research.
Wim E. Crusio; Cynthia Rubino; Anna Delprato,personalized learning; medicine; neurogenomics; systems biology; preprint; open science; internship; medical education; alternative medicine,2017,Journal,F1000Research,10.12688/f1000research.10570.1,Engaging high school students in systems biology through an e-internship program
Cesar Luiz Boguszewski,open data; alternative medicine; anesthesiology; open science; medicine,2017,Journal,F1000Research,10.12688/f1000research.12057.1,Update on GH therapy in adults
Konrad Hinsen,management science; computation; neuroscience; software; data set; implementation; text mining; open science; open data; biology,2014,Journal,F1000Research,10.12688/f1000research.3978.2,Computational science: shifting the focus from tools to models.
Andrea Bertino,indexing service; world wide web; computer science; altmetrics; cloud computing; interoperability; annotation; publishing; open science; authentication,2017,Journal,NA,10.7557/5.4275,HIRMEOS – High Integration of Research Monographs in the European Open Science infrastructure
Fernanda Peset; Antonia Ferrer-Sapena; Adolfo Alonso Arroyo; Rafael Aleixandre-Benavent,internal medicine; open science; medicine; data sharing; cardiology,2013,Journal,Revista Espanola De Cardiologia,10.1016/j.recesp.2013.08.005,Compartir datos de investigación en cardiología
Adam Savitz; Marsha Wilcox,psychiatry; medical education; clinical trial; open science; psychology,2017,Journal,Biological Psychiatry,10.1016/j.biopsych.2017.02.093,81. The OPTICS Project: Janssen Clinical Trial and NIH Data Together in an Open-Science Collaboration
A Mohapatra,grid; best practice; computer science; group method of data handling; data mining; tier 2 network; monte carlo method; simulation; user analysis; open science,2010,Journal,NA,10.1088/1742-6596/219/7/072045,CMS usage of the open science grid and the US Tier-2 centers
Kenneth L. Judd; Thomas S. Lontzek; Yongyang Cai,environmental resource management; biology; open science,2012,Journal,Nature Climate Change,10.1038/nclimate1509,Open science is necessary
Emma L. Schymanski; Antony J. Williams,environmental engineering; environmental science; biochemical engineering; open science,2017,Journal,Environmental Science & Technology,10.1021/acs.est.7b01908,Open Science for Identifying “Known Unknown” Chemicals
Valerie C.L. Spezi; Stephen Pinfield; Peter Willett; Claire Creaser; Simon Wakeling; Jenny Fry,public relations; open science; sociology; publication; scholarly communication; publishing; soundness,2017,Journal,Learned Publishing,10.1002/leap.1117,Open access megajournals: The publisher perspective (Part 1: Motivations)
Richard F. Heller; Rajan Madhok; Alan Barrett; Robert Zurynski; Omo Oaiya,pedagogy; open science; medicine; public health; alternative medicine; preprint; peer review; publishing; open data,2017,Journal,F1000Research,10.12688/f1000research.10728.2,Open Online Courses in Public Health: experience from Peoples-uni
Alvaro Proaño; Ruben Porudominsky; Eloy Ruiz; Jose Carlos Tapia,medicine; open science; text mining; latin americans; publishing; dream; open data; public relations; alternative medicine,2016,Journal,F1000Research,10.12688/f1000research.6950.1,The dream of health information for all.
Jochen Schirrwagen; Paolo Manghi; Amir Aryani; Oscar Corcho,open science; data mining; computer science,2017,Journal,Sigmod Record,10.1145/3092931.3092942,Report on the First International Workshop on Reproducible Open Science
Luís Fernando Sayão; Luana Farias Sales,digital curation; computer science; world wide web; e science; open science,2017,Journal,AtoZ: Novas Práticas em Informação e Conhecimento,10.5380/atoz.v5i2.49708,Curadoria digital e dados de pesquisa
David Tyfield,anthropology; economics of science; knowledge economy; social science; moral economy; open science; sociology; economy; confluence,2013,Journal,Spontaneous Generations: A Journal for The History and Philosophy of Science,10.4245/sponge.v7i1.19664,Transition to Science 2.0:‘remoralizing’ the economy of science
Lauren Soluk; Christopher M. Buddle,collaborative learning; higher education; biology; medicine; text mining; open science; neuroscience; student engagement; multimedia; active learning; social media; survey data collection,2015,Journal,F1000Research,10.12688/f1000research.6272.1,Tweets from the forest: using Twitter to increase student engagement in an undergraduate field biology course
Francesco Pirotti; Duccio Rocchini; Markus Neteler,software; earth remote sensing; open science; operations research; remote sensing; computer science,2017,Journal,NA,10.1186/s40965-017-0039-y,Preface to the special issue “Open Science for earth remote sensing: latest developments in software and data”
Daniel Mietchen,social research; financial management; transparency; public policy; open science; science policy; transformative learning; biology; public relations; survey research; genetics,2014,Journal,PLOS Biology,10.1371/journal.pbio.1002027,The Transformative Nature of Transparency in Research Funding
Mariam B. Totonchy; David J. Leffell,vismodegib; neuroscience; open science; basal cell carcinoma; biology; open data,2017,Journal,F1000Research,10.12688/f1000research.11314.1,Emerging concepts and recent advances in basal cell carcinoma
Satu Niininen; Osma Suominen; Susanna Nykyri,ontology; originality; open science; vocabulary; metadata; natural language; multilingualism; knowledge management; computer science; controlled vocabulary; information retrieval; library science,2017,Journal,Journal of Documentation,10.1108/JD-06-2016-0084,"The future of metadata: open, linked, and multilingual – the YSO case"
Jeffrey N. Rouder,upload; data integrity; data management plan; computer science; open data; raw data; data sharing; data mining; open science; scrutiny,2016,Journal,Behavior Research Methods,10.3758/s13428-015-0630-z,"The what, why, and how of born-open data"
Karen E. Adolph; Lisa Steiger; Dylan A. Simon; Rick O. Gilmore; David S. Millman,open science; medicine; open data; vision science; human computer interaction; alternative medicine,2015,Journal,F1000Research,10.7490/f1000research.1098279.1,Sharing displays and data from vision science research with Databrary
Joel Minion; Madeleine Murtagh; Tom Clark; Rebecca Wilson; Oliver Butters; Andrew Turner,conceptual schema; knowledge management; stakeholder; open science; corporate governance; open data; medicine; software; alternative medicine,2016,Journal,F1000Research,10.12688/f1000research.8786.1,Digital methodology to implement the ECOUTER engagement process
Mark D. Griffiths,open science; psychology; addiction; credibility; social psychology; clinical psychology; common ground; psychiatry; operational definition,2017,Journal,Addiction,10.1111/add.13828,Behavioural addiction and substance addiction should be defined by their similarities not their dissimilarities
Elizabeth Milne; Reem Al-jawahiri,open science; autism; big data; autism spectrum disorder; open data; scopus; computer science; data mining; search engine; data sharing,2017,Journal,PeerJ,10.7717/peerj.2880,Resources available for autism research in the big data era: a systematic review
Daniel Kardefelt-Winther; Yasser Khazaal; Alex Blaszczynski; Antonius J. van Rooij; Johan Edman; Adriano Schimmenti; Alexandre Heeren; Pierre Maurage; Joël Billieux,addiction; clinical psychology; applied psychology; medicine; open science; development theory; institutional repository,2017,Journal,Addiction,10.1111/add.13938,Behavioural Addiction Open Definition 2.0 – Using the open science framework for collaborative and transparent theoretical development
Elliott M. Antman,clinical trial; data sharing; pathology; demographics; computer science; publishing; data mining; open data; adjudication; open science; data dictionary,2014,Journal,BMJ,10.1136/bmj.g237,Data sharing in research: benefits and risks for clinicians
