Tag,PaperId,AuthorIdsOrder,AuthorNamesOrder,authorCount,unknownCount,femaleCount,femaleProp,1st,2nd,3rd,4th,5th,last,FoSNames,Year,DocType,Journal,Publisher,Doi,Title,EstimatedCitation,IndexedAbstract,WoSID,WoSjournal,jfraction,subd_name,disc_name
Reproducibility,2127084935,2148096997; 2181251456; 1226132320; 2171894986; 2029935785; 1986853326; 2041705486; 2309505924,Lidiane Lima Florencio; Thaís Cristina Chaves; Lívia B. Branisso; Maria C. Gonçalves; Fabíola Dach; José Geraldo Speciali; Marcelo E. Bigal; Débora Bevilaqua-Grossi,8,4,2,0.5,,1.0,,1.0,,,checklist; physical therapy; pathology; social psychology; allodynia; psychology; reproducibility,2012,Journal,Arquivos De Neuro-psiquiatria,Associação Arquivos de Neuro-Psiquiatria,10.1590/S0004-282X2012001100006,"12 item Allodynia Symptom Checklist/Brasil: cross-cultural adaptation, internal consistency and reproducibility",4,"Since there was no Portuguese questionnaire to evaluate cutaneous allodynia, which has been pointed out as a risk factor of migraine, we aimed to perform the cross-cultural adaptation of the 12 item Allodynia Symptom Checklist for the Brazilian population and to test its measurement properties. It consisted in six stages: translation, synthesis, back translation, revision by a specialist committee, pretest and submission the documents to the committee. In the pretest stage, the questionnaire was applied to 30 migraineurs of both sexes, who had some difficulty in understanding it. Thus, a second version was applied to 30 additional subjects, with no difficulties being reported. The mean filling out time was 3'36"", and the internal consistency was 0.76. To test reproducibility, 15 other subjects filled out the questionnaire at two different times, it was classified as moderate (weighted kappa=0.58). We made available to Brazilian population an easy, quick and reliable questionnaire.",,,1.0,Epilepsy,Brain Research
Reproducibility,2049153370,2427762568; 2514640987; 2516520331; 2513330885; 2297805480,S. Koch; C. Floors-Stortelder; I. te Veluwe; C. Derkman-van de Laak; E.B. Van Dieren,5,4,0,0.0,,,,,0.0,0.0,beam; medical physics; reproducibility; medicine; radiology; fixation,2011,Journal,Radiotherapy and Oncology,,10.1016/S0167-8140(11)71359-7,1237 poster CONE BEAM CT STUDY OF PATIENT POSITION REPRODUCIBILITY AND STABILITY USING DIFFERENT TYPES OF HEAD FIXATION,0,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,2007935862,2125821477; 2631950410; 76155460; 2569663797; 2328818446,S. van Beek; D. Minkema; P. Remeijer; J.J. Sonke; C. Rasch,5,4,0,0.0,0.0,,,,,,reproducibility; radiology; tongue; cancer; medical physics; medicine,2011,Journal,Radiotherapy and Oncology,Elsevier,10.1016/S0167-8140(11)71383-4,1261 poster TONGUE POSITION AND SETUP REPRODUCIBILITY USING DIFFERENT TONGUE DEPRESSORS IN H&N CANCER ASSESSED WITH CBCT.,0,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,2330094619,2124253489; 1982416374; 2585183136; 121952196; 130434934,Matthew S. Christman; Kate H. Kraft; Greg Tasian; Stephen A. Zderic; Thomas F. Kolon,5,0,1,0.2,0.0,1.0,0.0,0.0,0.0,0.0,gynecology; urology; infertility; semen; reproducibility; medicine,2012,Journal,The Journal of Urology,Elsevier,10.1016/j.juro.2012.02.1757,1373 REPRODUCIBILITY OF SEMEN ANALYSES IN THE TRANSITIONING ADOLESCENT AT RISK FOR INFERTILITY,0,,,,,,
Reproducibility,1968995847,2200250362; 2207395540; 2306038540,M. Kruszyna; M. Litoborski; S. Adamczyk,3,3,0,,,,,,,,reproducibility; irradiation; medical physics; medicine; nuclear medicine,2011,Journal,Radiotherapy and Oncology,Elsevier,10.1016/S0167-8140(11)71502-X,1380 poster THE ESTIMATION OF REPRODUCIBILITY OF PATIENTS' IRRADIATION BASED ON DOSE DISTRIBUTIONS MEASURED USING THE EPID SYSTEM,0,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,2127543153,2499557515; 2552384011; 2574773890; 1985098027; 2235985402,Anna Kasicka-Jonderko; Anna Nita; Krzysztof Jonderko; Magdalena Kamińska; Barbara Błońska-Fajfrowska,5,0,4,0.8,1.0,1.0,0.0,1.0,1.0,1.0,diabetes mellitus; stimulation; medicine; coefficient of variation; reproducibility; breath test,2011,Journal,World Journal of Gastroenterology,World J Gastroenterol,10.3748/wjg.v17.i45.4979,13C-methacetin breath test reproducibility study reveals persistent CYP1A2 stimulation on repeat examinations,12,"AIM: To find the most reproducible quantitative parameter of a standard 13C-methacetin breath test (13C-MBT).

METHODS: Twenty healthy volunteers (10 female, 10 male) underwent the 13C-MBT after intake of 75 mg 13C-methacetin p.o. on three occasions. Short- and medium-term reproducibility was assessed with paired examinations taken at an interval of 2 and 18 d (medians), respectively.

RESULTS: The reproducibility of the 1-h cumulative 13C recovery (AUC0-60), characterized by a coefficient of variation of 10%, appeared to be considerably better than the reproducibility of the maximum momentary 13C recovery or the time of reaching it. Remarkably, as opposed to the short gap between consecutive examinations, the capacity of the liver to handle 13C-methacetin increased slightly but statistically significantly when a repeat dose was administered after two to three weeks. Regarding the AUC0-60, the magnitude of this fixed bias amounted to 7.5%. Neither the time gap between the repeat examinations nor the gender of the subjects affected the 13C-MBT reproducibility.

CONCLUSION: 13C-MBT is most reproducibly quantified by the cumulative 13C recovery, but the exactitude thereof may be modestly affected by persistent stimulation of CYP1A2 on repeat examinations.",WOS:000298171000006,world journal of gastroenterology,1.0,Clinical Rehabilitation,Medical Specialties
Reproducibility,1980428132,2514471757; 2236958526; 422291606,C. Jensen; I. Fallmyr; N. Skottner,3,3,0,,,,,,,,medicine; radiology; retrospective cohort study; medical physics; reproducibility,2011,Journal,Radiotherapy and Oncology,,10.1016/S0167-8140(11)71532-8,1410 poster A RETROSPECTIVE STUDY COMPARING THE REPRODUCIBILITY OF THE WINGSTEP BREASTBOARD TO THE CONVENTIONAL MT-350 BREASTBOARD IN TANGENTIAL BREAST IRRADIATION,0,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,1983396470,2668019450; 2779952735; 2066246039; 1982313905; 2568714282; 2691324668,A. Homayuni; D. Georg; Karin Dieckmann; M. Stock; R. Pötter; A. Osztavics,6,5,1,1.0,,,1.0,,,,reproducibility; medicine; radiology; medical physics; radiation therapy,2011,Journal,Radiotherapy and Oncology,Elsevier,10.1016/S0167-8140(11)71626-7,1504 poster EVALUATION OF THE REPRODUCIBILITY OF PATIENT SETUP FOR A DOUBLE-MASK SYSTEM USING ADDITIONAL THERMOPLASTIC PELLES FOR PRECISION RADIOTHERAPY,2,,,,1.0,Radiation Therapy,Medical Specialties
Reproducibility,2107412530,1820327128; 2551767573; 2343002402; 2032462698; 2137479899,Zhamshid Okhunov; Alberto Perez Lansac DeLorca; Ashleigh Menhadji; Achim Lusch; Jaime Landman,5,2,2,0.6666666666666666,,0.0,1.0,,1.0,1.0,reproducibility; urology; kidney; medicine,2013,Journal,The Journal of Urology,Elsevier,10.1016/j.juro.2013.02.3025,1535 S.T.O.N.E. NEPHROLITHOMETRY: A NOVEL SCORING SYSTEM FOR KIDNEY CALCULI – INTEROBSERVER RELIABILITY AND REPRODUCIBILITY,0,,,,,,
Reproducibility,2662889395,1993153505; 2697334859; 1986107873,Natsuki Miyata; Daiki Nakamura; Yusuke Maeda,3,2,0,0.0,,,0.0,,,0.0,geography; computer vision; reproducibility; artificial intelligence; engineering drawing,2013,Journal,,,10.1299/jsmermd.2013._1A2-K01_1,1A2-K01 Statistical Shape Adjustment of A Skin Surface for A Posable Human Hand Model : Reproducibility Accroding to Postures and Regions(Digital Human),0,,,,,,
OpenScience,1910952613,2439047353; 2683355099; 2027629194; 2120473825; 2659860080; 2597419760,Andrew P. Rees; Carol Robinson; Timothy J. Smyth; Jim Aiken; Phil Nightingale; Mike Zubkov,6,0,1,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,upwelling; biodiversity; open science; ocean gyre; oceanography; ocean color; transect; meteorology; zonal and meridional; geology,2015,Journal,Limnology and Oceanography Bulletin,Wiley online,10.1002/lob.10069,20 Years of the Atlantic Meridional Transect—AMT,7,"The AMT (www.amt-uk.org) is a multidisciplinary programme which undertakes biological, chemical, and physical oceanographic research during an annual voyage between the UK and a destination in the South Atlantic such as the Falkland Islands, South Africa, or Chile. This transect of >12,000 km crosses a range of ecosystems from subpolar to tropical, from euphotic shelf seas and upwelling systems, to oligotrophic mid-ocean gyres. The year 2015 has seen two milestones in the history of the AMT: the achievement of 20 years of this unique ocean going programme and the departure of the 25th cruise on the 15th of September. Both of these events were celebrated in June this year with an open science conference hosted by the Plymouth Marine Laboratory (PML) and will be further documented in a special issue of Progress in Oceanography which is planned for publication in 2016. Since 1995, the 25 research cruises have involved 242 sea-going scientists from 66 institutes representing 22 countries. AMT was designed from the outset to be a collaborative programme. It was originally conceived by Jim Aiken, Patrick Holligan, Roger Harris, and Dave Robins with Chuck McClain and Chuck Trees at NASA to test and ground truth satellite algorithms of ocean color. The opportunities offered by this initiative meant that this series of repeated biannual cruises rapidly developed into a coordinated study of ocean biodiversity, biogeochemistry, and ocean/atmosphere interactions.",,,,,
