AuthorIds,AuthorNames,AuthorOrders,AuthorPapers,FoSNames,FoSPaperCounts,FoSCiteCounts,DisplayName,NormalizedName,PaperId,Rank,Doi,DocType,JournalId,ConferenceInstanceId,OriginalTitle,Year,Date,Publisher,ReferenceCount,CitationCount,EstimatedCitation,URLs,IndexedAbstract,AuthorIdsOrder,AuthorNamesOrder
1803502372; 2108977857; 2734653370; 2617444636,Dmitry S. Yufit; J. A. Gareth Williams; Tanya de Sa; Raminder S. Mulla,2; 3; 4; 1,193; 159; 1; 3,medicine; alternative medicine; open science; anesthesiology; open data,24337520; 469961; 3499; 12674; 7711,212406322; 2017161; 12541; 81034; 26234,F1000Research,f1000research,2735532028,21796,10.7490/f1000research.1111253.1,,2755217574.0,,"Design, synthesis and evaluation of potential EDTA alternatives",2016,2016-01-15T00:00:00.0000000,,0,0,0,https://f1000research.com/posters/5-68,,2617444636; 1803502372; 2108977857; 2734653370,Raminder S. Mulla; Dmitry S. Yufit; J. A. Gareth Williams; Tanya de Sa
2105460656; 2294447905; 1980030602; 1945437555,Danny Lee; Jorge Batista; Shawn Patrick McKee; Constantine Dovrolis,3; 1; 4; 2,5; 3; 104; 98,network topology; worldwide lhc computing grid; data mining; complex network; open science; perfsonar; timeline; grid; metrics; computer science,67638; 107; 945182; 23305; 3499; 75; 11666; 178911; 1448; 9965937,887713; 443; 8292622; 401952; 12541; 297; 68556; 1267441; 13117; 67146656,,,2507413011,20831,10.1088/1742-6596/664/5/052027,Journal,,,Identifying and localizing network problems using the PuNDIT project,2015,2015-12-23T00:00:00.0000000,IOP Publishing,12,1,1,http://stacks.iop.org/1742-6596/664/i=5/a=052027?key=crossref.53645df40e4a58b4ba288e2b15fcdd14; http://iopscience.iop.org/article/10.1088/1742-6596/664/5/052027; http://iopscience.iop.org/article/10.1088/1742-6596/664/5/052027/pdf,"In today's world of distributed collaborations of scientists, there are many challenges to providing effective infrastructures to couple these groups of scientists with their shared computing and storage resources. The Pythia Network Diagnostic InfrasTructure (PuNDIT[1]) project is integrating and scaling research tools and creating robust code suitable for operational needs addressing the difficult challenge of automating the detection and location of network problems.PuNDIT is building upon the de-facto standard perfSONAR[2] network measurement infrastructure deployed in Open Science Grid(OSG)[3] and the Worldwide LHC Computing Grid(WLCG)[4]to gather and analyze complex real-world network topologies coupled with their corresponding network metrics to identify possible signatures of network problems from a set of symptoms. The PuNDIT Team is working closely with the perfSONAR developers from ESnet and Internet2 to integrate PuNDIT components as part of the perfSONAR Toolkit. A primary goal for PuNDIT is to convert complex network metrics into easily understood diagnoses in an automated way. We will report on the project progress to-date in working with the OSG and WLCG communities, describe the current implementation including some initial results and discuss future plans and the project timeline.",2294447905; 1945437555; 2105460656; 1980030602,Jorge Batista; Constantine Dovrolis; Danny Lee; Shawn Patrick McKee
1994625639; 2314639601; 2784690888; 2521231807,Thang M. Khuong; G. Gregory Neely; Zina Hamoudi; Tiffany Cole,2; 4; 1; 3,7; 29; 1; 5,paclitaxel; anesthesiology; neuroscience; medicine; open science,21436; 12674; 426088; 24337520; 3499,306085; 81034; 12116479; 212406322; 12541,F1000Research,f1000research,2785227016,21255,10.12688/f1000research.13581.1,,2755217574.0,,A fruit fly model for studying paclitaxel-induced pain,2018,2018-01-23T00:00:00.0000000,,0,0,0,https://f1000research.com/articles/7-99/v1,,2784690888; 1994625639; 2521231807; 2314639601,Zina Hamoudi; Thang M. Khuong; Tiffany Cole; G. Gregory Neely
184063835,Geertrui Van Overwalle,1,107,public relations; public good; knowledge economy; public domain; intellectual property; political science; open science; gift economy; appropriation; private good,1188794; 27730; 26340; 8207; 63869; 3898535; 3499; 376; 21950; 1832,8031662; 421028; 226702; 44153; 287063; 9001673; 12541; 3014; 120445; 30331,,,2291073656,23529,,,,,University Patents Cut to Size? Balancing Public and Private Good (Universitaire octrooien op maat? Naar een evenwicht tussen publieke opdracht en privaat goed) (Dutch),2006,2006-01-01T00:00:00.0000000,,0,0,0,https://papers.ssrn.com/abstract=1719165,"Information and knowledge form the very basis of scientific progress. Access to information and disclosure of research results are key to the advancement of a knowledge economy. Current academic knowledge development, however, is characterized by two tendencies which may form a threat to further knowledge creation: increasing privatisation of knowledge, on the one hand, and growing expansion of intellectual property protection regimes, on the other hand. The present paper explores both tendencies, and reflects on the status of academic knowledge and the role of university patents in this delicate debate.We kick off by elucidating and explaining some frequently used concepts (part 2). Then we will focus on the question whether knowledge emanating from universities can be privatized by way of patents, i.e. we will be looking at the legitimacy and acceptability of present appropriation practices (part 3). As the trend towards privatization at universities seems to be unstoppable, we will not dwell long on this question but move on to two moot points: (a) what is the impact on the public domain of the increased privatization of knowledge emanating from universities, and (b) how can universities uphold the public domain and how can they promote open access in a context of growing privatization?Despite our being engrossed - albeit only for a short while - in the problematic issues related to the acquiring of patents by universities ('the existence of patents' - part 4), we will mainly focus on the problems arising out of the use of patent rights ('the exercise of patent rights' - part 5). This focus derives from the fact that although the Flemish legislator encourages patents in many ways, there are relatively few standards and criteria as to how those rights, once acquired, can and should be exercised. So, there is an enormous field of unexplored territory for policymaking to give shape to fair, reasonable and ethical patent behavior.",184063835,Geertrui Van Overwalle
1962401488; 2481407086; 2189694359; 2341379691,Jelena Zascerinska; Hariharan Ramar; Andreas Ahrens; Natalia Andreeva,2; 3; 1; 4,25; 1; 82; 11,knowledge management; open innovation; empirical research; higher education; openness to experience; underpinning; political science; open science; pedagogy; elaboration; distance education,1024349; 9854; 181115; 483940; 24593; 14559; 3898535; 3499; 2516128; 31430; 56023,6743109; 89781; 2830279; 3102019; 344314; 166836; 9001673; 12541; 11463014; 278458; 296794,,,2340408501,22793,10.17770/sie2016vol1.1488,Journal,,,EDUCATORS’ OPINION ON WEBINARS IN HIGHER EDUCATION,2016,2016-05-26T00:00:00.0000000,,15,0,0,http://conferences.ru.lv/index.php/SIE/SIE2016/paper/viewPaper/502; http://journals.ru.lv/index.php/SIE/article/download/1488/1681; http://journals.ru.lv/index.php/SIE/article/view/1488,"T hree strategic priorities of the European Union such as Open Innovation, Open Science, and Openness to the World reveal that higher education focused on training of students as prospective specialists needed by society and production orient higher education how to change. In higher education the transition from distance learning to on-line learning has started. For on-line learning in higher education, w ebinars are becoming an indispensable tool. However, educators’ opinion on webinars in higher education has not been analyzed. The aim of the present contribution is to analyze educators‘ opinion on webinars in higher education underpinning elaboration of a hypothesis on use of webinars in on-line educational environment within higher education. The meaning of such key concepts as webinar, opinion, on-line learning and on-line educational environment is studied. Moreover, the study shows how the steps of the process are related: identifying webinars → defining educators’ opinion → empirical study → conclusions. The empirical study was carried out in September 2015. The sample included 58 educators from the teacher training institution, namely Dr. Sivanthi Aditanar College of Education in India. The study results demonstrate that the educators’ opinions on webinars in higher education are homogeneous . A hypothesis on use of webinars in on-line educational environment within higher education is elaborated. Directions of further research are proposed.",2189694359; 1962401488; 2481407086; 2341379691,Andreas Ahrens; Jelena Zascerinska; Hariharan Ramar; Natalia Andreeva
163927934; 2688197921; 2287522225; 2284758454; 2765055070; 2279042211; 2154254054; 2501030706; 2223027959,Petr Votava; Shuai Wang; Pujita Rao; Venkatesh Sriram; Ramakrishna R. Nemani; Neeraj Saini; Jia Zhang; Christopher Lee; Tsengdar J. Lee,3; 5; 8; 6; 9; 7; 1; 2; 4,71; 1; 1; 1; 111; 1; 163; 13; 10,network model; service; knowledge management; social network; proof of concept; data mining; open science; computer science; software; scientific instrument; service discovery,23782; 1794; 1024349; 133186; 11496; 945182; 3499; 9965937; 601704; 4007; 6863,251991; 15900; 6743109; 1818207; 81105; 8292622; 12541; 67146656; 4391816; 24897; 56565,International Journal of Web Services Research,international journal of web services research,2097492014,21668,10.4018/IJWSR.2015070102,Journal,119470311.0,,A Trust-Powered Technique to Facilitate Scientific Tool Discovery and Recommendation,2015,2015-07-01T00:00:00.0000000,IGI Global,28,0,0,https://ideas.repec.org/a/igg/jwsr00/v12y2015i3p25-47.html; https://www.igi-global.com/article/a-trust-powered-technique-to-facilitate-scientific-tool-discovery-and-recommendation/132754; http://dl.acm.org/citation.cfm?id=2807143.2807145; http://dblp.uni-trier.de/db/journals/jwsr/jwsr12.html#ZhangLVLWSSRN15,"While the open science community engenders many similar scientific tools as services, how to differentiate them and help scientists select and reuse existing software services developed by peers remains a challenge. Most of the existing service discovery approaches focus on finding candidate services based on functional and non-functional requirements as well as historical usage analysis. Complementary to the existing methods, this paper proposes to leverage human trust to facilitate software service selection and recommendation. A trust model is presented that leverages the implicit human factor to help quantify the trustworthiness of candidate services. A hierarchical Knowledge-Social-Trust KST network model is established to extract hidden knowledge from various publication repositories e.g., DBLP and social networks e.g., Twitter and DBLP. As a proof of concept, a prototyping service has been developed to help scientists evaluate and visualize trust of services. The performance factor is studied and experience is reported.",2154254054; 2501030706; 163927934; 2223027959; 2688197921; 2284758454; 2279042211; 2287522225; 2765055070,Jia Zhang; Christopher Lee; Petr Votava; Tsengdar J. Lee; Shuai Wang; Venkatesh Sriram; Neeraj Saini; Pujita Rao; Ramakrishna R. Nemani
1771675270,Nicola Baldini,1,303,political science; open science; secrecy; engineering ethics,3898535; 3499; 13704; 117038,9001673; 12541; 122653; 160541,,,1921053993,22656,,,,,The patenting universities: Problems and perils,2008,2008-02-28T00:00:00.0000000,"University Library of Munich, Germany",7,2,2,https://mpra.ub.uni-muenchen.de/7370/; https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1114086_code410333.pdf?abstractid=1099246&mirid=1; http://econpapers.repec.org/paper/pramprapa/853.htm; https://ideas.repec.org/p/pra/mprapa/853.html; https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1099246,"Starting from a review of more than 50 papers, this work will present a detailed overview of threats stemming from university patenting activity, then it will draw some policy implications and it will conclude with some suggestions for further research.",1771675270,Nicola Baldini
1968859041; 2168976755,Henry Sauermann; Michael Roach,1; 2,30; 20,wage; incentive; public relations; political science; competitive advantage; open science; publishing; sustainability; publication,63149; 166607; 1188794; 3898535; 64809; 3499; 272751; 234747; 29329,863236; 2139888; 8031662; 9001673; 910605; 12541; 471219; 1767249; 167816,,,1488870327,22042,,,,,Not All Scientists pay to be Scientists,2011,2011-01-01T00:00:00.0000000,"DRUID, Copenhagen Business School, Department of Industrial Economics and Strategy/Aalborg University, Department of Business Studies",51,2,2,https://ideas.repec.org/p/aal/abbswp/11-03.html; http://econpapers.repec.org/RePEc:aal:abbswp:11-03,"A growing body of research on firms’ “open science” strategies rests on the notion that scientists have a strong preference for publishing and that firms are able to extract a wage discount if they allow scientists to publish. Drawing on a survey of 1,400 life scientists about to enter the job market, we suggest an alternative view. First, we show significant heterogeneity in the price scientists assign to the opportunity to publish in firms, and those scientists who seek industry careers have particularly low preferences for publishing. Thus, many job applicants are not willing to accept lower wages for jobs that let them publish and firms pursuing open science strategies may instead have to pay publishing incentives that fulfill both sorting and incentive functions. Second, we show that scientists with higher ability have a higher price of publishing but also expect to be paid higher wages regardless of the publishing regime. Thus, they are not cheaper to hire than other scientists if allowed to publish, but they are more expensive if publishing is restricted. Finally, we show that scientists publish not simply for “peer recognition” but also for more specific reasons, including the opportunity to advance science or to move to higher-paying jobs. Different reasons predict what price a scientist assigns to the opportunity to publish and may also have very different implications for the sustainability of competitive advantages derived from open science strategies.",1968859041; 2168976755,Henry Sauermann; Michael Roach
2160511730; 1660732377,Guangyu Zou; Levent Yilmaz,1; 2,20; 127,social network; knowledge management; management science; social connectedness; virtual organization; exploratory research; science communication; virtual engineering; open science; computer science; open innovation,133186; 1024349; 648636; 11769; 2890; 52000; 8955; 515; 3499; 9965937; 9854,1818207; 6743109; 7099911; 174266; 34145; 525532; 69968; 1908; 12541; 67146656; 89781,Computational and Mathematical Organization Theory,computational and mathematical organization theory,2084554906,20923,10.1007/s10588-010-9068-0,Journal,47778307.0,,Dynamics of knowledge creation in global participatory science communities: open innovation communities from a network perspective,2011,2011-03-01T00:00:00.0000000,Kluwer Academic Publishers,34,14,14,https://link.springer.com/content/pdf/10.1007%2Fs10588-010-9068-0.pdf; http://dl.acm.org/citation.cfm?id=1997540; http://dblp.uni-trier.de/db/journals/cmot/cmot17.html#ZouY11; https://link.springer.com/article/10.1007/s10588-010-9068-0; http://dx.doi.org/10.1007/s10588-010-9068-0; http://dl.acm.org/citation.cfm?id=1997536.1997540&coll=DL&dl=GUIDE; https://rd.springer.com/content/pdf/10.1007%2Fs10588-010-9068-0.pdf; http://link.springer.com/10.1007/s10588-010-9068-0; https://rd.springer.com/article/10.1007/s10588-010-9068-0; http://www.informatik.uni-trier.de/~ley/db/journals/cmot/cmot17.html,"Significant attention has been given to advancing cyber-infrastructures to support virtual engineering and science communities based on the proposition that virtual organizations can more effectively create and leverage knowledge due to diverse information, skills, and resources to enhance capacity to innovate. Yet, relatively little is known about desirable organizing processes in virtual open science communities. To this end, a simulation-based exploratory study is conducted to better understand the conditions that confer increased rates of innovation in such socio-technical systems. Three types of open science communities are identified and simulated using agent simulation as a method of inquiry. Simulation results show that centrality, as a measure of degree of connectedness, correlates with innovation output in exploratory and service communities up to a point. Also, utility-oriented communities have social network structures with low density and high centrality, which suggest high potential for innovation.",2160511730; 1660732377,Guangyu Zou; Levent Yilmaz
2106233591; 2115785627; 2101314941,Sarah Carrier; Jed Dube; Jane Greenberg,1; 2; 3,5; 3; 124,information architecture; application profile; content analysis; data sharing; open science; computer science; data mining; interoperability; metadata; schema crosswalk,4403; 693; 104336; 11702; 3499; 9965937; 945182; 43160; 57709; 861,28447; 4690; 994209; 73073; 12541; 67146656; 8292622; 255945; 316344; 558,,,1840900341,19577,,,,,The DRIADE project: phased application profile development in support of open science,2007,2007-08-27T00:00:00.0000000,Dublin Core Metadata Initiative,7,10,10,http://dcpapers.dublincore.org/pubs/article/view/875; http://portal.acm.org/citation.cfm?id=1344598; http://dl.acm.org/citation.cfm?id=1344598; https://www.datadryad.org/wg/dryad/images/3/3f/Driade.dublincore07.draft.pdf; http://dblp.uni-trier.de/db/conf/dc/dc2007.html#GreenbergCD07,"DRIADE (Digital Repository of Information and Data for Evolution) is a project being developed for the acquisition, preservation, sharing and re-use of heterogeneous data in support of published research in the field of evolutionary biology. Metadata is a fundamental part of DRIADE’s information architecture. This paper reports on DRIADE’s overarching goals. We describe our phased approach to developing an application profile, which supports three phases of DRIADE's development. We present a multi-method approach to developing the application profile. Our methods included a requirements assessment, content analysis, and crosswalk analysis. The paper concludes by identifying next steps and discussing the applicability of DRIADE’s work to other initiatives seeking to tightly couple published research and data.",2106233591; 2115785627; 2101314941,Sarah Carrier; Jed Dube; Jane Greenberg
2128386366; 2720754638,Benedikt Fecher; Sascha Friesike,1; 2,25; 12,computer science; knowledge management; openness to experience; open science; scholarly communication; management science; web 2 0; digging,9965937; 1024349; 24593; 3499; 7681; 648636; 20732; 10666,67146656; 6743109; 344314; 12541; 36430; 7099911; 121665; 33588,,,2612809830,23368,,,,,Open Science: digging deeper into the assumptions that underpin openness and Web 2.0,2013,2013-06-20T00:00:00.0000000,London School of Economics and Political Science,0,0,0,http://eprints.lse.ac.uk/72085/,"Benedikt Fecher and Sascha Friesike take a closer look at the assumptions that underpin perspectives on scholarly communication and the benefits of communicating more openly with non-experts. Ultimately, the use of novel communication tools depends on quite a few variables and challenges remain on how best to adapt to more open practices.",2128386366; 2720754638,Benedikt Fecher; Sascha Friesike
1631403503; 2661688044; 2664843648; 2678853378; 2611779666; 2711399601; 2568224184,Martin Hammitzsch; Neil Chue Hong; Philip Wenig; Edzer Pebesma; Xenia van Edig; Andrew Hufton; Markus Neteler,7; 1; 2; 5; 6; 4; 3,28; 1; 1; 1; 1; 2; 1,computer science; open science; software engineering; software; computational science,9965937; 3499; 206621; 601704; 73588,67146656; 12541; 694486; 4391816; 518244,European geosciences union general assembly,european geosciences union general assembly,2288065233,24636,10.5281/zenodo.17625,,2764838229.0,,Open Science goes Geo – Part II: Scientific Software,2015,2015-04-15T00:00:00.0000000,,0,0,0,http://zenodo.org/record/17625,,2661688044; 2664843648; 2568224184; 2711399601; 2678853378; 2611779666; 1631403503,Neil Chue Hong; Philip Wenig; Markus Neteler; Andrew Hufton; Edzer Pebesma; Xenia van Edig; Martin Hammitzsch
1850436943,Event Coordinator,1,1,library science; medicine; media studies; open science,986947; 24337520; 942434; 3499,839923; 212406322; 652636; 12541,,,967658971,25329,,,,,A/Prof Alex Holcombe,2013,2013-03-28T00:00:00.0000000,,0,0,0,,,1850436943,Event Coordinator
1467280881; 2060032211; 2126310934,Katrina P. Jongman-Sereno; Kate J. Diebels; Mark R. Leary,3; 2; 1,13; 9; 224,media studies; psychology; open science,942434; 6344092; 3499,652636; 78393743; 12541,,,2782774594,21504,,,,,Open Science Supplements for Journal of Social Psychology Invited Manuscript,2015,2015-08-17T00:00:00.0000000,Open Science Framework,0,0,0,https://osf.io/nydsz/,,2126310934; 2060032211; 1467280881,Mark R. Leary; Kate J. Diebels; Katrina P. Jongman-Sereno
