journ_id,formal_name,jfraction,subd_id
106,"2004 Seventh Seminar On Neural Network Applications In Electrical Engineering - Proceedings, Neurel 2004",1,137
107,2004 Sme Annual Meeting Preprints,1,437
108,2004 Tappi Coating And Graphic Arts Conference And Exhibit,1,440
109,2004 Tappi Decorative And Industrial Laminates Symposium,1,155
110,2004 Tappi Paper Summit - Spring Technical And International Environmental Conference,1,480
111,2004 Topical Meeting On Silicon Monolithic Integrated Circuits In Rf Systems: Digest Of Papers,1,385
112,"2004 Twelfth IEEE International Workshop On Quality Of Service, Iwqos 2004",1,159
113,"2004 Winter Meeting - Technical And Symposium Papers, American Society Of Heating, Refrigerating And Air-Conditioning Engineers",1,416
114,2004 Wireless Telecommunications Symposium - Wts 2004,1,118
115,"2005 1st IEEE International Symposium On New Frontiers In Dynamic Spectrum Access Networks, Dyspan 2005",1,118
116,"2005 1st International Conference On Multimedia Services Access Networks, Msan05",1,118
117,"2005 2nd IEEE Consumer Communications And Networking Conference, Ccnc2005",1,118
118,"2005 4th International Symposium On Information Processing In Sensor Networks, Ipsn 2005",1,159
119,2005 58th Annual Conference For Protective Relay Engineers,1,455
120,"2005 9th Ifip/IEEE International Symposium On Integrated Network Management, Im 2005",1,428
121,"2005 Aiche Spring National Meeting, Conference Proceedings",1,417
122,"2005 Ans Topical Meeting On Decommissioning, Decontamination, And Reutilization",1,522
123,2005 Beijing International Conference On Imaging: Technology And Applications For The 21st Century,1,440
124,2005 Cigre/IEEE Pes International Symposium,1,153
125,"2005 Conference On Lasers And Electro-Optics, Cleo",1,46
126,"2005 Conference On Optical Network Design And Modelling: Towards The Broadband-For-All Era, Ondm 2005",1,428
127,2005 Fall Technical Conference Of The Asme Internal Combustion Engine Division,1,459
128,"2005 First International Conference On Neural Interface And Control, Proceedings",1,412
129,2005 Heavy Minerals Conference Proceedings,1,437
130,"2005 IEEE Annual Conference On Wireless And Microwave Technology, Wamicon 2005 - Conference Proceedings",1,385
131,"2005 IEEE Computational Systems Bioinformatics Conference, Workshops And Poster Abstracts",1,146
132,"2005 IEEE Conference - Avionics Fiber-Optics And Photonics, Avfop 2005",1,219
133,"2005 IEEE Congress On Evolutionary Computation, IEEE Cec 2005 Proceedings",1,208
134,2005 IEEE Electric Ship Technologies Symposium,1,455
135,"2005 IEEE International Conference On Dielectric Liquids, Icdl 2005",1,253
136,2005 IEEE International Conference On Electric Machines And Drives,1,455
137,"2005 IEEE International Conference On Wireless And Mobile Computing, Networking And Communications, Wimob'2005",1,118
138,2005 IEEE International Workshop On Intelligent Signal Processing - Proceedings,1,450
139,"2005 IEEE Networking, Sensing And Control, Icnsc2005 - Proceedings",1,3
140,2005 IEEE Power Engineering Society General Meeting,1,153
141,2005 IEEE Workshop On Advanced Robotics And Its Social Impacts,1,225
142,2005 IEEE Workshop On Machine Learning For Signal Processing,1,186
143,"2005 IEEE Workshop On Microelectronics And Electron Devices, Wmed",1,66
144,2005 IEEE/Aces International Conference On Wireless Communications And Applied Computational Electromagnetics,1,484
145,"2005 International Conference On Advanced Robotics, Icar '05, Proceedings",1,225
146,"2005 International Conference On Integration Of Knowledge Intensive Multi-Agent Systems, Kimas'05: Modeling, Exploration, And Engineering",1,428
147,"2005 International Conference On Machine Learning And Cybernetics, Icmlc 2005",1,3
148,"2005 International Conference On Physics And Control, Physcon 2005, Proceedings",1,108
149,"2005 International Conference On Services Systems And Services Management, Proceedings Of Icsssm'05",1,58
150,2005 International Conference On Wireless And Optical Communications Networks,1,118
151,"2005 International Oil Spill Conference, Iosc 2005",1,508
152,2005 International Petroleum Technology Conference Proceedings,1,141
153,"2005 International Symposium On Empirical Software Engineering, Isese 2005",1,56
154,"2005 International Symposium On Power Line Communications And Its Applications, Isplc 2005",1,299
155,"2005 Non-Volatile Memory Technology Symposium, Nvmts05",1,439
156,2005 Nsti Nanotechnology Conference And Trade Show - Nsti Nanotech 2005 Technical Proceedings,1,185
157,"2005 Proceedings Of The 4th Asme Conference On Integrated Nanosystems: Design, Synthesis, And Applications",1,38
158,2005 Sme Annual Meeting: Got Mining - Preprints,1,437
159,"2005 Spanish Conference On Electron Devices, Proceedings",1,38
160,"2005 Spe Asia Pacific Health, Safety And Environment Conference And Exhibition - Proceedings",1,507
161,2005 Spe Asia Pacific Oil And Gas Conference And Exhibition - Proceedings,1,141
162,2005 Spe-Icota (International Coiled Tubing Association)Coiled Tubing Conference And Exhibition - Proceedings,1,266
163,2005 Tappi Coating Conference And Exhibit,1,480
164,2005 Tappi Practical Papermaking Conference,1,480
165,"2005 Workshop On Computational Electromagnetics In Time-Domain, Cem-Td 2005",1,484
166,22nd Picture Coding Symposium,1,370
167,"23rd Annual Southern African Transport Conference, Satc 2004: Getting Recognition For The Importance Of Transport",1,34
168,"24th Annual Southern African Transport Conference, Satc 2005: Transport Challenges For 2010",1,34
169,"24th International Congress On Applications Of Lasers And Electro-Optics, Icaleo 2005 - Congress Proceedings",1,396
170,26th Annual Canadian Nuclear Society Conference And 29th Cns/Cna Student Conference,1,522
171,26th Conference On Agricultural And Forest Meteorology,1,404
172,26th Conference On Hurricanes And Tropical Meteorology,1,97
173,"28th International Spring Seminar On Electronics Technology: Meeting The Challenges Of Electronics Technology Progress, 2005",1,223
174,"2nd IEEE International Conference On Industrial Informatics, Indin'04",1,409
175,2nd International Conference On Aspect-Oriented Software Development,1,458
176,"2nd International Conference On Electrical And Electronics Engineering, Iceee And Xi Conference On Electrical Engineering, Cie 2005",1,455
177,2nd International IEEE Embs Conference On Neural Engineering,1,412
178,2nd International Meeting On Ironmaking And 1st International Symposium On Iron Ore And Parallel Event- 5th Japan-Brazil Symposium On Dust Processing-Energy-Environment On Metallurgical Industries,1,406
179,30th European Rotorcraft Forum,1,409
180,31st Annual Acm Siguccs Fall Conference (Siguss Conference Proceedings,1,212
181,31st European Rotorcraft Forum,1,409
182,"39th International Universities Power Engineering Conference, Upec 2004 - Conference Proceedings",1,398
183,"3rd Acs/IEEE International Conference On Computer Systems And Applications, 2005",1,3
184,"3rd International IEEE Northeast Workshop On Circuits And Systems Conference, Newcas 2005",1,481
185,43rd Aiaa Aerospace Sciences Meeting And Exhibit - Meeting Papers,1,70
186,48th Annual Power Industry Symposium- 15th Annual Joint Isa Powid/Epri Controls And Instrumentation Conference,1,86
187,49th Annual Air Traffic Control Association Conference Proceedings - Fall 2004,1,404
188,4OR,1,74
189,4th International Conference Copper 99-Cobre 99,1,249
190,4th North American Conference On Multiphase Technology,1,141
191,"54th International Astronautical Congress Of The International Astronautical Federation (Iaf), The International Academy Of Astronautics And The International Institute Of Space Law",1,409
192,58th Congresso Anual Da Abm (Associacao Brasileira De Metalurgia E Materiais),1,406
193,"5th IEEE International Vacuum Electronics Conference, Ivec 2004",1,232
194,"5th International Conference On Antenna Theory And Techniques, 2005",1,484
195,5th Symposium On The Urban Environment,1,404
196,"63rd Arftg Conference Digest, Spring 2004, Automatic Rf Techniques Group: On Wafer Characterization",1,385
197,65th Arftg Microwave Measurements Conference Digest 2005,1,385
198,"6th Annual International Siberian Workshop And Tutorials On Electron Devices And Materials, Edm 2005",1,552
199,6th International Conference On Advanced Communication Technology: Broadband Convergence Network Infrastructure,1,428
200,"7th World Congress Of Chemical Engineering, Glasgow2005, Incorporating The 5th European Congress Of Chemical Engineering",1,36
201,"85th Ams Annual Meeting, American Meteorological Society - Combined Preprints",1,97
202,8th Korea-Russia International Symposium On Science And Technology - Proceedings: Korus 2004,1,552
203,9th European Conference On Speech Communication And Technology,1,186
204,A + U-ARCHITECTURE AND URBANISM,1,27
205,A Collection Of Technical Papers - 13th Aiaa/Cira International Space Planes And Hypersonic Systems And Technologies Conference,1,70
206,A Collection Of Technical Papers - 1st Space Exploration Conference: Continuing The Voyage Of Discovery,1,409
207,A Collection Of The 22nd Aiaa International Communications Satellite Systems Conference And Exhibit Technical Papers,1,5
209,A_U-ARCHIT_URBAN,1,467
210,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,1,222
211,AAAI Fall Symposium - Technical Report,1,160
212,AAAI Workshop - Technical Report,1,160
213,AAC: Augmentative And Alternative Communication,1,302
214,AACE International Transactions,1,123
215,AACE International Transactions Of The Annual Meeting,1,123
216,AACN clinical issues,1,67
218,AAOHN Journal,1,17
219,AAPG Bulletin,1,363
220,AAPG Memoir,1,363
221,AAPS Journal,1,402
222,AAPS PharmSci,1,37
223,AAPS Pharmscitech,1,37
224,Aardkundige Mededelingen,1,493
225,AAS History Series,1,410
226,AATCC Review,1,421
227,ABA JOURNAL,1,27
228,ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,1,360
229,ABB Review,1,153
230,Abdominal Imaging,1,28
231,Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,1,435
232,Abstract And Applied Analysis,1,14
233,Abstracts Of The Pacific Basin Nuclear Conference,1,47
234,ABU Technical Review,1,489
235,ACADEME-BULLETIN OF THE AAUP,1,444
236,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1,360
237,Academic Emergency Medicine,1,466
238,Academic Journal Of Xi'An Jiaotong University,1,519
239,Academic Medicine,1,451
240,ACADEMIC PEDIATRICS,1,367
241,Academic Psychiatry,1,451
242,Academic Radiology,1,28
243,ACADEMY OF MANAGEMENT ANNALS,1,126
244,Academy Of Management Executive,1,126
245,Academy Of Management Journal,1,126
246,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1,126
247,ACADEMY OF MANAGEMENT PERSPECTIVES,1,126
248,Academy Of Management Review,1,126
249,ACADIENSIS,1,420
250,Acarologia,1,454
251,Acc Current Journal Review,1,258
252,Accident And Emergency Nursing,1,447
253,Accident; Analysis And Prevention,1,98
254,ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,1,444
255,ACCOUNTING AND BUSINESS RESEARCH,1,360
256,Accounting And Finance,1,360
257,Accounting Forum,1,403
258,ACCOUNTING HORIZONS,1,360
259,Accounting Organizations And Society,1,360
260,Accounting Review,1,360
261,"Accounting, Auditing And Accountability Journal",1,403
263,Accounts Of Chemical Research,1,18
264,Accreditation And Quality Assurance,1,195
265,ACH-MODELS_CHEM,1,326
266,Aci Materials Journal,1,129
267,Aci Structural Journal,1,436
268,Acm 2001 Java Grande/Iscope Conference,1,371
269,ACM COMPUTING SURVEYS,1,395
270,"Acm International Conference On Computer Graphics, Virtual Reality And Visualisation In Africa",1,188
271,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1,330
272,"Acm Mswim 2004 - Proceedings Of The Seventh Acm Symposium On Modeling, Analysis And Simulation Of Wireless And Mobile Systems",1,5
273,Acm Multimedia 2004 - Proceedings Of The 12th Acm International Conference On Multimedia,1,136
274,"Acm Sigdoc Annual International Conference On Computer Documentation, Proceedings",1,430
275,Acm Sigplan Notices,1,458
276,Acm Special Interest Group For Design Of Commun; Sigdoc 2003: Finding Real-World Solutions For Doc: How Theory Informs Pract And Pract Informs Theory Proc Of The 21st Annu Int Conf On Doc,1,430
277,"Acm Symposium On Solid Modeling And Applications, Sm",1,474
278,"Acm Symposium On Virtual Reality Software And Technology, Proceedings, Vrst",1,188
279,ACM TRANSACTIONS ON ALGORITHMS,1,291
280,ACM TRANSACTIONS ON APPLIED PERCEPTION,1,188
281,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1,371
282,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1,152
283,Acm Transactions On Computational Logic,1,331
284,ACM TRANSACTIONS ON COMPUTER SYSTEMS,1,395
285,Acm Transactions On Computer-Human Interaction,1,430
286,Acm Transactions On Database Systems,1,359
287,Acm Transactions On Design Automation Of Electronic Systems,1,121
288,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1,330
289,Acm Transactions On Graphics,1,474
290,Acm Transactions On Information And System Security,1,395
291,Acm Transactions On Information Systems,1,446
292,Acm Transactions On Internet Technology,1,3
293,Acm Transactions On Mathematical Software,1,501
294,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1,74
295,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1,317
296,Acm Transactions On Programming Languages And Systems,1,458
297,ACM TRANSACTIONS ON SENSOR NETWORKS,1,395
298,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1,395
299,ACM TRANSACTIONS ON THE WEB,1,446
300,Acm/IEEE International Workshop On Timing Issues In The Specification And Synthesis Of Digital Systems,1,121
301,Acm/Sigda International Symposium On Field Programmable Gate Arrays - Fpga,1,481
302,Acme,1,516
303,Acoustic Research Letters Online,1,186
304,Acoustical Physics,1,497
305,Acoustical Science And Technology,1,186
306,ACOUSTICS AUSTRALIA,1,497
307,Acoustics Bulletin,1,497
308,ACP-APPLIED CARDIOPULMONARY PATHOPHYSIOLOGY,1,319
309,ACROSS LANGUAGES AND CULTURES,1,420
310,ACS APPLIED MATERIALS & INTERFACES,1,365
311,ACS CHEMICAL BIOLOGY,1,523
312,ACS CHEMICAL NEUROSCIENCE,1,54
313,"Acs Division Of Environmental Chemistry, Preprints",1,508
314,"Acs Division Of Fuel Chemistry, Preprints",1,470
316,ACS MEDICINAL CHEMISTRY LETTERS,1,523
317,ACS NANO,1,185
318,Acs National Meeting Book Of Abstracts,1,508
319,Acs Symposium Series,1,538
320,"Acs, Division Of Environmental Chemistry - Preprints Of Extended Abstracts",1,508
321,Acsm'S Health And Fitness Journal,1,73
322,Acta Acustica (Stuttgart),1,497
323,Acta Acustica United With Acustica,1,497
324,ACTA ADRIATICA,1,343
325,Acta Agriculturae Scandinavica - Section A: Animal Science,1,107
326,Acta Agriculturae Scandinavica - Section B: Soil And Plant Science,1,120
327,Acta Alimentaria,1,49
328,Acta Anaesthesiologica Belgica,1,7
329,Acta Anaesthesiologica Italica / Anaesthesia And Intensive Care In Italy,1,7
330,Acta Anaesthesiologica Scandinavica,1,7
331,Acta Anaesthesiologica Sinica,1,7
332,Acta Anaesthesiologica Taiwanica,1,7
333,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,1,122
335,Acta Angiologica,1,59
336,Acta Applicandae Mathematicae,1,393
337,ACTA ARCHAEOLOGICA,1,468
338,Acta Arithmetica,1,435
339,Acta Astronautica,1,409
340,Acta Astronomica,1,103
341,Acta Biochimica Et Biophysica Sinica,1,1
342,Acta Biochimica Polonica,1,4
343,ACTA BIOETHICA,1,124
344,Acta Biologica Cracoviensia Series Botanica,1,404
345,Acta Biologica Hungarica,1,425
346,Acta Biologica Szegediensis,1,21
347,Acta Biomaterialia,1,165
348,Acta Bio-Medica De L'Ateneo Parmense : Organo Della Societa Di Medicina E Scienze Naturali Di Parma,1,303
349,Acta Bioquimica Clinica Latinoamericana,1,241
350,Acta Biotechnologica,1,315
351,Acta Biotheoretica,1,477
352,ACTA BOTANICA BRASILICA,1,196
353,Acta Botanica Croatica,1,53
354,Acta Botanica Gallica,1,419
355,ACTA BOTANICA MEXICANA,1,325
356,Acta Botanica Sinica,1,404
357,Acta Cardiologica,1,2
358,Acta Cardiologica Sinica,1,114
359,Acta Carsologica,1,548
360,Acta Chimica Sinica,1,470
361,Acta Chimica Slovenica,1,415
362,Acta Chiropterologica,1,524
363,Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca,1,62
364,Acta Chirurgiae Plasticae,1,210
365,Acta Chirurgica Austriaca,1,405
366,Acta Chirurgica Belgica,1,59
367,Acta Chirurgica Iugoslavica,1,478
368,Acta Chromatographica,1,75
369,Acta Cientifica Venezolana,1,178
371,Acta Ciru∞üRgica Brasileira / Sociedade Brasileira Para Desenvolvimento Pesquisa Em Cirurgia,1,167
372,ACTA CLASSICA,1,112
373,Acta Clinica Belgica,1,39
374,Acta Clinica Croatica,1,485
375,Acta Crystallographica - Section D Biological Crystallography,1,4
376,"Acta Crystallographica Section A, Foundations Of Crystallography",1,500
377,"Acta Crystallographica Section B, Structural Science",1,500
378,Acta Crystallographica Section E: Structure Reports Online,1,500
379,Acta Crystallographica Section F: Structural Biology And Crystallization Communications,1,4
380,"Acta Crystallographica, Section C: Crystal Structure Communications",1,500
381,Acta Cytologica,1,471
382,Acta Dermato-Venereologica,1,24
383,"Acta Dermatovenerologica Alpina, Pannonica Et Adriatica",1,24
384,Acta Dermatovenerologica Croatica,1,24
385,Acta Diabetologica,1,39
386,Acta Ecologica Sinica,1,404
387,ACTA ENDOCRINOLOGICA-BUCHAREST,1,82
388,Acta Endoscopica,1,309
389,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,1,53
390,Acta Ethnographica Hungarica,1,250
391,ACTA ETHOLOGICA,1,401
392,Acta Farmaceutica Bonaerense,1,257
393,Acta Gastro-Enterologica Belgica,1,32
394,Acta Gastroenterologica Latinoamericana,1,349
395,Acta Genetica Sinica,1,372
396,Acta Geodaetica Et Cartographica Sinica,1,364
397,Acta Geodaetica Et Geophysica Hungarica,1,61
398,ACTA GEODYNAMICA ET GEOMATERIALIA,1,364
399,Acta Geographica Sinica,1,404
400,ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1,527
401,Acta Geologica Hispanica,1,426
402,Acta Geologica Hungarica,1,426
403,Acta Geologica Polonica,1,426
404,Acta Geologica Sinica,1,413
405,Acta Geologica Sinica-English Edition,1,413
406,ACTA GEOPHYSICA,1,374
407,Acta Geophysica Polonica,1,61
408,Acta Geophysica Sinica,1,61
409,ACTA GEOTECHNICA,1,239
410,ACTA GEOTECHNICA SLOVENICA,1,239
411,Acta Ginecologica,1,50
412,Acta Haematologica,1,19
413,Acta Haematologica Polonica,1,424
414,Acta Hepatologica Japonica,1,349
415,ACTA HERPETOLOGICA,1,113
416,Acta Histochemica,1,48
417,Acta Histochemica Et Cytochemica,1,48
418,ACTA HISTORICA TALLINNENSIA,1,379
419,ACTA HISTRIAE,1,488
420,Acta Hospitalia,1,236
421,Acta Hydrochimica Et Hydrobiologica,1,206
422,ACTA ICHTHYOLOGICA ET PISCATORIA,1,343
423,Acta Informatica,1,458
424,ACTA LINGUISTICA HUNGARICA,1,222
425,Acta Materialia,1,23
426,ACTA MATHEMATICA,1,337
427,Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,1,435
428,Acta Mathematica Hungarica,1,435
429,Acta Mathematica Scientia,1,14
430,"Acta Mathematica Sinica, English Series",1,14
431,Acta Mathematica Universitatis Comenianae,1,435
432,Acta Mathematicae Applicatae Sinica,1,14
433,Acta Mechanica,1,147
434,Acta Mechanica Sinica/Lixue Xuebao,1,147
435,Acta Mechanica Solida Sinica,1,147
436,Acta Medica Austriaca,1,399
437,Acta Medica Auxologica,1,530
438,Acta Medica Bulgarica,1,41
439,Acta Medica Croatica,1,554
440,Acta Medica Et Biologica,1,6
441,Acta Medica Indonesiana,1,116
442,Acta Medica Iranica,1,24
443,Acta Medica Mediterranea,1,425
444,Acta Medica Nagasakiensia,1,405
445,Acta Medica Okayama,1,349
446,Acta Medica Portuguesa,1,44
447,Acta Medica Romana,1,7
448,Acta Metallurgica Sinica (English Letters),1,23
449,Acta Meteorologica Sinica,1,293
450,Acta Microbiologica Et Immunologica Hungarica,1,315
451,Acta Microbiologica Hellenica,1,84
452,Acta Microbiologica Polonica,1,84
453,ACTA MICROSCOPICA,1,132
454,ACTA MONTANISTICA SLOVACA,1,364
455,ACTA MOZARTIANA,1,142
456,ACTA MUSICOLOGICA,1,142
457,Acta Myol,1,445
458,Acta Naturalia De L'Ateneo Parmense,1,413
459,Acta Neurobiologiae Experimentalis,1,40
460,Acta Neurochirurgica,1,44
461,"Acta Neurochirurgica, Supplement",1,44
462,Acta Neurologica Belgica,1,63
463,Acta Neurologica Scandinavica,1,63
